"","X","File.Name","first_author_ep","measured_in_time_series_data_ep","hypothesized_driver_of_change_ep","level_of_analysis_ep","increase_decrease_ep","method.of.estimating_ep","raw.stats_ep","author_nd","measured_in_time_series_data_nd","level_of_analysis_nd","hypothesized_driver_of_change_nd","method_of_estimating_nd","increase_decrease_nd","raw_stats_nd","notes_nd","first_author_ib","measured_in_time_series_data_ib","level_of_analysis_ib","hypothesized_driver_of_change_ib","increase_decrease_ib","method_of_estimating_ib","raw_stats_ib","help_needed_ib","first_author_ps","population.structure._ps","genetic.structure._ps","spatial.structure._ps","genomic.structure._ps","measured_in_time_series_data_ps","hypothesized_driver_of_change_ps","increase_decrease_ps","method_of_estimating_ps","raw_stats_ps","measured_in_time_series_data_gf","level_of_analysis_gf","hypothesized_driver_of_change_gf","increase_decrease_gf","method_of_estimating_gf","raw_stats_gf","author_selection","measured_in_time_series_data_selection","central_question_regarding_selection_selection","outcome_of_central_question_selection","selection_level_of_analysis_selection","selection_hypothesized_driver_of_change_selection.x","selection_method_of_estimating_selection","selection_candidate_gene_list_selection","selection_coefficent_overall_selection","selection_coefficent_meanofoutliers_selection","first_author_last_name_drift","measured_in_time_series_data_drift","level_of_analysis_drift","hypothesized_driver_of_change_drift","method_of_estimating_drift","did_drift_have_effect_drift","raw_stats_drift","help_needed_drift","notes_drift","Author_fst","measured_in_time_series_data_fst","level_of_analysis_fst","hypothesized_diver_of_change_fst","spacetime_or_time_fst","sliding_window_vs_entire_genome_fst","candidate_gene_list_fst","raw_stats_fst","first_auhtor_tajima","measured_in_time_series_data_tajima","level_of_analysis_tajima","hypothesized_driver_of_change_tajima","sliding_window_vs_entire_genome_tajima","raw_stats_tajima","canidate_gene_tajima","help_needed_tajima","first_author_mc","measured_in_time_series_data_mc","level_of_anaylsis_mc","hypothesized_driver_of_change_mc","increase_decrease_mc","method_of_estimating_mc","raw_stats_mc","help_needed_mc","order_parallel","parallel._parallel","author_parallel","measured_in_time_series_data_parallel","evidence_of_parallel_evolution_parallel","snp_evidence_parallel","gene_protein_evidence_parallel","parallel_diversity.change_parallel","notes_parallel","collectedmonth_paperinfo","doi_paperinfo","year_paperinfo","journal_paperinfo","volume_paperinfo","issue_paperinfo","dbs_paperinfo","authors_paperinfo","first_author_paperinfo","keywords_paperinfo","Title_paperinfo","Notes_paperinfo","Type_paperinfo","Study.system_paperinfo","Taxon_paperinfo","Driver.of.change_paperinfo","Data.type_paperinfo","Experimental.design_paperinfo","Time.scale.years_paperinfo","Time.scale.generations_paperinfo","File.Name.1_paperinfo","revised","Driver.of.change.std_paperinfo"
"20",20,"10.1016_j.meegid.2015.02.023.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","How did H1N1 flue evolve between 1918 and 2014?","Evidence of similarity between 2013/14 strain and severe 2009 strain","multiple temporal","host-pathogen",NA,NA,NA,NA,"banerjee","no",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,"No",NA,NA,NA,NA,NA,NA,NA,"august","10.1016/j.meegid.2015.02.023",2015,"",NA,"","","Banerjee R.; Roy A.; Das S.; Basak S.","Banerjee","","Similarity of currently circulating H1N1 virus with the 2009 pandemic clone: Viability of an imminent pandemic","","article","virus","Influenza virus","host-pathogen","reduced representation","historical","80 or 96","10176","10.1016_j.meegid.2015.02.023.pdf","host-pathogen","host-pathogen"
"22",22,"10.1016_j.meegid.2021.105153.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"showers","yes","What mutations emerged and spread throughough the covid pandemic between January 2020- January 2021?","Within the spike protein, there were 766 unique mutations observed in the N-terminal domain and 360 in the receptor binding domain. Four residues that directly contact ACE2 were mutated in more than 100 sequences, including positions K417, Y453, S494, and N501. Within the furin cleavage site of the spike protein, a high degree of conservation was observed, but the P681H mutation was observed in 10.47% of sequences analyzed. Within the RNA dependent RNA polymerase complex proteins, 327 unique mutations were observed in Nsp8, 166 unique mutations were observed in Nsp7, and 1157 unique mutations were observed in Nsp12. Only 4 sequences analyzed contained mutations in the 9 residues that directly interact with the therapeutic Remdesivir, suggesting limited mutations in drug interacting residues.","multiple temporal","host-pathogen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,"No",NA,NA,NA,NA,NA,NA,NA,"august","10.1016/j.meegid.2021.105153",2022,"",NA,"","","Showers W.M.; Leach S.M.; Kechris K.; Strong M.","Showers","","Longitudinal analysis of SARS-CoV-2 spike and RNA-dependent RNA polymerase protein sequences reveals the emergence and geographic distribution of diverse mutations","","article","virus","Covid-19 virus","host-pathogen","WGS","historical","1","73","10.1016_j.meegid.2021.105153.pdf","host-pathogen","host-pathogen"
"25",25,"10.1016_j.soilbio.2019.05.004.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sun","yes","How did selection change functional genes in soil during restoration after mining?","Taxonomic and functional changes indicate a shift from copiotrophic to oligotrophic groups, increasing metabolism of re- calcitrant carbon sources and the influence of vegetation. Increases in genes involved in transposable elements, virulence, defense, and stress response suggest more cooperative and competitive interactions among micro- organisms with chronosequence age. Within N cycling groups, ammonia and nitrite oxidizing bacteria increased significantly during restoration, but few significant changes were observed in key N-cycle functional genes. The low relative abundances of methanotrophs and methane monooxygenase genes in all reforested soils explains previous observations that methane consumption has not recovered at these sites 31 years after reforestation. This work helps identify possible mechanisms linking the soil microbiome to ecosystem recovery, with a specific focus on N cycling and greenhouse gas emission, to better understand the roles soil microorganisms play in the restoration of ecosystem functions.","multiple temporal","anthropogenic factors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,"No",NA,NA,NA,NA,NA,NA,NA,"august","10.1016/j.soilbio.2019.05.004",2019,"",NA,"","","Sun; Shan; Badgley; Brian D.","Sun","","Changes in microbial functional genes within the soil metagenome during forest ecosystem restoration","","article","bacteria","","anthropogenic","metagenomics","repeated","31 or 25","#N/A","10.1016_j.soilbio.2019.05.004.pdf","anthropogenic","anthropogenic"
"26",26,"10.1016_j.watres.2022.118556.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"qi","yes","How do bacteria evolve when they're used to control biological souring of anaerobic water bodies like oil reservoirs?","Comparative and functional genomics analysis identified potential niche adaptation mechanisms (autotrophic and heterotrophic nitrate/ni- trite reduction, including DNRA and denitrification) of predominant SRB in nitrate-amended environments, which were responsible for the rapid resumption of sulfide accumulation after the depletion of nitrate and nitrite.","multiple temporal","anthropogenic factors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,"No",NA,NA,NA,NA,NA,NA,NA,"august","10.1016/j.watres.2022.118556",2022,"",NA,"","","Qi P.; Sun D.; Zhang G.; Li D.; Wu T.; Li Y.","Qi","","Bio-augmentation with dissimilatory nitrate reduction to ammonium (DNRA) driven sulfide-oxidizing bacteria enhances the durability of nitrate-mediated souring control","","article","bacteria","bacterial community","experimental","poolseq","experimental","0.03561644 or 0.057534247","#N/A","10.1016_j.watres.2022.118556.pdf","anthropogenic","anthropogenic"
"28",28,"10.1021_acs.est.2c00793.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wang","yes","How do microbes evolve in response to low levels of antibiotics?","candidate gene list","multiple_temporal","antibiotics","relative fitness (growth curves)","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,"No",NA,NA,NA,NA,NA,NA,NA,"august","10.1021/acs.est.2c00793",2022,"",NA,"","","Wang H.; Feng Y.; Lu H.","Wang","","Low-Level Cefepime Exposure Induces High-Level Resistance in Environmental Bacteria: Molecular Mechanism and Evolutionary Dynamics","","article","bacteria","Comamonas testosteroni","experimental","WGS","experimental","0.02739726 or 0.109589041","66.4 or 300","10.1021_acs.est.2c00793.pdf","host-pathogen","host-pathogen"
"29",29,"10.1038_ismej.2015.241.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bendall","Yes","No","No","No","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bendall","yes","Do bacterial communities experience genome-wide or gene-wide selective sweeps?","both","multiple_temporal","natural","allele frequency change","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"Yes","bendall","no",NA,NA,NA,NA,NA,"august","10.1038/ismej.2015.241",2016,"",NA,"","","Bendall M.L.; Stevens S.L.R.; Chan L.-K.; Malfatti S.; Schwientek P.; Tremblay J.; Schackwitz W.; Martin J.; Pati A.; Bushnell B.; Froula J.; Kang D.; Tringe S.G.; Bertilsson S.; Moran M.A.; Shade A.; Newton R.J.; McMahon K.D.; Malmstrom R.R.","Bendall","","Genome-wide selective sweeps and gene-specific sweeps in natural bacterial populations","","article","bacteria","bacterial community","natural evolution","metagenomics","repeated","9","#N/A","10.1038_ismej.2015.241.pdf","natural evolution","natural evolution"
"30",30,"10.1038_ncomms3172.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"martin","yes","How did the potato blight evolve during and after the Irish potato famine?","candidate gene list; suite of virulence related genes","multiple_temporal","epidemic","gene content analysis","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,"Yes","martin","yes","yes",NA,"yes",NA,"Amino acid changes in AVR genes in multiple modern samples of potato blight suggest evolution of more virulence","may","10.1038/ncomms3172",2013,"Nature Communications",4,"","NA scopus NA","Martin M.D.; Cappellini E.; Samaniego J.A.; Zepeda M.L.; Campos P.F.; Seguin-Orlando A.; Wales N.; Orlando L.; Ho S.Y.W.; Dietrich F.S.; Mieczkowski P.A.; Heitman J.; Willerslev E.; Krogh A.; Ristaino J.B.; Gilbert M.T.P.","Martin","","reconstructing genome evolution in historic samples of the irish potato famine pathogen","gen time of 5 days 10.2478/v10032-012-0016-z","article","fungus","Phytophthora infestans","host-pathogen","WGS","historical","168","11961.6","10.1038_ncomms3172.pdf","host-pathogen","host-pathogen"
"31",31,"10.1038_s41437-019-0264-5.pdf","Qian","yes","global warming; temperature; anthropogenic","single",NA,"Wright�Fisher ABC-based approach (WFABC)","> 1000","qian","yes","multiple_spatial","global warming;climate change",NA,"no change","focal genes: 1980s pi: 5.9 _ 10_4 to 1.3 _ 10_2; 2008 pi: 7.3 _ 10_4 to 1.6 _ 10_2; control genes: � ranging from 1.9 _ 10_4 to 1.1 _ 10_2 in the ancestral populations and from 4.3 _ 10_4 to 1.2 _ 10_2 in the descendant populations","NA, modern diversity slightly higher but not significant","Qian",NA,NA,NA,NA,NA,NA,NA,"Qian","Yes","Yes","No","No","yes","ecogeographical adaptation","increase","Fst","",NA,NA,NA,NA,NA,NA,"qian","yes","Have flower-time related genes in wild barley experienced positive selection compared to reference genes?","yes","multiple_temporal","climate change; anthropogenic","WFABC","yes","","","qian","yes","multiple_temporal","warming; climate change","allele frequency; simulation","no","0 simulations found fixed snps under drift alone",NA,NA,"Qian","yes","multiple temporal","ecogeographical adaptation","time","genomewide","yes","see doc. ""Moreover, BayeScan results showed that in the ancestral populations, the average values of FST were 0.382 and 0.381 for candi- date genes and reference genes, respectively, while in the descendant populations, the average values of FST were 0.469 and 0.462 for candidate genes and reference genes, respectively (Fig. 2b). Based on the t-test, the significantly higher average values of FST for both candidate loci and reference loci in the descendant populations than in the ancestral populations suggest that genetic differentiation had been significantly enhanced over the past 28 generations.""","qian","yes","multiple_temporal","global warming; climate change; anthropogenic","sliding window","see notes doc","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"Yes","qian","yes","yes","yes",NA,NA,"54 snps under selection, all fixed in descendent populations","may","10.1038/s41437-019-0264-5",2020,"HEREDITY",124,"1","NA NA wos","Qian; CJ; Yan; X; Shi; Y; Yin; HX; Chang; YX; Chen; J; Ingvarsson; PK; Nevo; E; Ma; XF","Qian","","adaptive signals of flowering time pathways in wild barley from israel over 28 generations","","article ","plant","hordeum spontaneum","natural evolution","reduced representation","repeated","28","28","10.1038_s41437-019-0264-5.pdf","anthropogenic","anthropogenic"
"32",32,"10.1038_s41467-021-21281-6.pdf","iranmehr","yes","high 02 levels; experimental","multiple_spatial","decrease; bottleneck followed by expansion","Wright-Fisher Markov-Chain","< 200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Iranmehr","Yes","No","No","No","yes","changes in oxygen concentration","no change","PCA","see doc",NA,NA,NA,NA,NA,NA,"Iranmehr","yes","what are the genomic mechanisms responsible for adaptation","synchronicity in both hard and soft sweeps, candidate gene list","multiple temporal","oxygen level","allele frequency change","yes",NA,NA,"iranmehr","no",NA,NA,NA,NA,NA,NA,"controlled for drift but not really a focal result","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,"No",NA,NA,NA,NA,NA,NA,NA,"august","10.1038/s41467-021-21281-6",2021,"",NA,"","","Iranmehr A.; Stobdan T.; Zhou D.; Zhao H.; Kryazhimskiy S.; Bafna V.; Haddad G.G.","Iranmehr","","Multiple mechanisms drive genomic adaptation to extreme O2 levels in Drosophila melanogaster","","article","invertebrate","Drosophila melanogaster","experimental","WGS","experimental","18","290","10.1038_s41467-021-21281-6.pdf","experimental","experimental"
"33",33,"10.1038_s41467-022-31622-8.pdf","stern","yes","salinity decline; climate change; experimental","multiple_spatial",NA,"poolseq R package; Wright�Fisher ABC-based approach (WFABC)","Replicate Group WFABC BS3C	Control	1742
BS4C	Control	1670
BSE1	Control	1525
BSE2	Control	1496
BSE3	Treatment	1613
BSE4	Treatment	1367
BSE5	Treatment	1489
BSE6	Treatment	1201
BSE8	Treatment	1471
BSE9	Treatment	1445
BSE11	Treatment	1801
BSE12	Treatment	1647",NA,NA,NA,NA,NA,NA,NA,NA,"stern","no",NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stern","yes","What is the evolutionary genomic response to rapid salinity decline","Found highly parallel polygenic adaptaion to saliity decline","multiple_temporal","salinity; global warming; anthropological; experimental evolution","CMH; chi sq; LMM","yes","see paper for selection coefficent","","stern","no",NA,NA,NA,NA,NA,NA,"controlled for drift but not really a focal result","Stern","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,"Yes","stern","yes","yes","yes",NA,NA,"79.4% of selected alleles shared between lines by the tenth generation of natural selection; suggested due to synergistic epistasis","may","10.1038/s41467-022-31622-8",2022,"Nature Communications",13,"1","er","Stern D.B.; Anderson N.W.; Diaz J.A.; Lee C.E.","Stern","","genome-wide signatures of synergistic epistasis during parallel adaptation in a baltic sea copepod","Time scale year generated from 10.1080/01647959108683894","article","invertebrate","Rhizoglyphus robini","experimental","poolseq","experimental",NA,"45","10.1038_s41467-022-31622-8.pdf","anthropogenic","anthropogenic"
"36",36,"10.1038_s41558-023-01696-3.pdf","turbek","yes","climate change; anthropogenic; introgression","multiple_temporal","increase","LD method in NeEstimator2","Past (1888-1909): 23.1-36.9; Present (1996-2015): 75.6-112.6",NA,NA,NA,NA,NA,NA,NA,NA,"turbek","yes","multiple_temporal","habitat loss; warming; climate change; anthropogenic","decrease; decrease in both inbreeding and runs of homozygosity ","F; Frosh","see notes structure","","Turbek","Yes","No","No","No","yes","increases in temperature; anthropogenic climate change","decrease","PCA","see doc","yes","multiple_spatial; multiple_temporal","climate change; anthropogenic","increase","D statistics via ABBA-BABA","(Table in other doc) D statistics revealed excess allele sharing between contemporary  San Diego and neighbouring populations in the Pacific northwest and desert southwest relative to populations in the interior west and east","turbek","yes","Are climate linked loci spatially shifting in response to climate change?","yes","multiple_temporal","climate change; anthropogenic","random forest; lfmm","yes",NA,NA,"turbek","no",NA,NA,NA,NA,NA,NA,NA,"Turbek","yes","multiple spatial","increases in temperature; anthropogenic climate change","spacetime","both","yes","see doc. ""While individuals sampled in San Diego in the late 1800s were more genetically distinct, allele frequencies in modern San raising concerns about climate-induced extinction16. Diego samples are now intermediate to those of the Pacific northwest To further explore evolutionary responses to climate change
in the southwestern willow flycatcher, we focus specifically on San
and desert southwest (Fig. 1b). Mean fixation index (FST) between the historical and contemporary San Diego populations was 0.06, com- Diego, California, where the number of willow flycatcher breeding
parable to FST estimates between historical San Diego and neighbour- territoriesisdecliningdespitewidespreadabundancebefore194017,18.
California has warmed by an average of 1.4 �C since 189519. Combined
ing contemporary populations in the Pacific northwest (0.06) and with an increase in the variability of precipitation patterns, this rise in
desert southwest (0.05). Mapping of the sequence data to the zebra finch (Taeniopygia guttata) genome revealed that the FST outlier loci temperature has led to the growing frequency and intensity of wildfires,
droughts and other extreme weather events19. Using whole-genome
(FST > 0.38; 99th percentile of FST divergence) between the historical and contemporary individuals from San Diego were scattered throughout sequencing (WGS) of 17 historical specimens, collected from 1888 to
the genome (Extended Data Fig. 1).""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.1038/s41558-023-01696-3",2023,"NAT CLIM CHANGE",13,"7","NA NA wos","Turbek; SP; Bossu; C; Rayne; C; Gruppi; C; Kus; BE; Whitfield; M; Smith; TB; Paxton; EH; Bay; RA; Ruegg; KC","Turbek","","historical dna reveals climate adaptation in an endangered songbird","Generation time from https://www.fs.usda.gov/rm/pubs/rmrs_gtr060.pdf","article ","vertebrate","Empidonax traillii extimus","climate change; anthropogenic","WGS","historical","35","23","10.1038_s41558-023-01696-3.pdf","anthropogenic","anthropogenic"
"37",37,"10.1038_s41559-019-0921-3.pdf",NA,NA,NA,NA,NA,NA,NA,"gutaker ","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gutaker","Yes","No","No","No","no",NA,NA,NA,NA,"yes","multiple_spatial; multiple_temporal","introduction; anthropogenic","increase","admixture graph framework model","the oldest EHS (collected 1650–1750) were found to have descended directly from an ancestor of Andean landraces. Within the next 100 years, potatoes in Europe admixed with newly introduced Chilean potatoes (Fig. 2d,e). In addition, twentieth-century European potatoes were found not to have descended directly from their nineteenth-century admixed predecessors, but rather to have received gene flow from  a wild potato species","gutaker","yes","How did potatos evole after being brought to Europe from Chile?","Selection on photoperiod genes; candidate gene list","multiple_temporal","globalization; farming; trade; novel environment; anthropogenic","loss of heterozygosity; tajima's d","yes","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","gutaker","yes","multiple_spatial","domestication; gloablization; anthropogenic","entire genome","see notes doc","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,39,"Yes","gutaker","no",NA,NA,NA,NA,NA,"may","10.1038/s41559-019-0921-3",2019,"NAT ECOL EVOL",3,"7","NA NA wos","Gutaker; RM; Weiss; CL; Ellis; D; Angling; NL; Knapp; S; Fernandez-Alonso; JL; Prats; S; Burbano; HA","Gutaker","","the origins and adaptation of european potatoes reconstructed from historical genomes","No idea how to calculate generation time","article","plant","Solanum tuberosum","revisit","WGS","historical","345",NA,"10.1038_s41559-019-0921-3.pdf","anthropogenic","anthropogenic"
"38",38,"10.1038_s41559-020-1271-x.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sandberg","yes","How does e coli evolve in response to getting a gene replaced with an orthologous sequence from from another taxa ","orthogene-upregulating mutations can completely mitigate fitness defects that result from initial non-functionality, with coding sequence changes unnecessary. Gene target, donor species and genomic location of the swap all influenced outcomes�both the nature of adaptive mutations (often synonymous) and the frequency with which strains successfully evolved to assimilate the foreign DNA","multiple_spatial","experimental",NA,NA,NA,NA,"sanberg","no",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,"Yes","sanberg","no",NA,NA,NA,NA,NA,"august","10.1038/s41559-020-1271-x",2020,"",NA,"","","Sandberg T.E.; Szubin R.; Phaneuf P.V.; Palsson B.O.","Sandberg","","Synthetic cross-phyla gene replacement and evolutionary assimilation of major enzymes","","article","bacteria","E coli","experimental","WGS","experimental","#N/A","<1200 or 50000","10.1038_s41559-020-1271-x.pdf","experimental","experimental"
"39",39,"10.1038_s41559-022-01665-7.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Frei","Yes","No","No","No","yes","Habitat diversity and water depth changes; anthropogenic eutrophication","decrease","PCA, Fst, and admixture","",NA,NA,NA,NA,NA,NA,"frei","yes","Do genes that experienced positive selection in one species more commonly introgress?","yes","multiple_temporal","eutrophication; pollution; anthropogenic","nSL","yes","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Frei","yes","single","Habitat diversity and water depth changes; anthropogenic eutrophication","time","genomewide","no","For SNPs pre=0.046(0.052) [n=7(18)], post=0.022 [n=14]. This whole part of the analysis is kind of suspect given the samples sizes.","frei","yes","multiple_spatial","speciation reversal; eutrophication; habitat degredation; climate change; anthropogenic","sliding window","see notes doc","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,41,"Yes","frei","no",NA,NA,NA,NA,NA,"may","10.1038/s41559-022-01665-7",2022,"NAT ECOL EVOL",6,"4","NA NA wos","Frei; D; De-Kayne; R; Selz; OM; Seehausen; O; Feulner; PGD","Frei","","genomic variation from an extinct species is retained in the extant radiation following speciation reversal","","article ","vertebrate","Coregonus gutturosus; C. arenicolus; C. wartmanni; C. macrophthalmus","climate change; anthropogenic","WGS","historical","80","16","10.1038_s41559-022-01665-7.pdf","anthropogenic","anthropogenic"
"40",40,"10.1038_s41559-022-01816-w.pdf","parrett","yes","sexual selection; experimental","single",NA,"poolseq R package","Population Ne
Fighter A 432.2
Fighter B 368.8
Fighter C 336.9
Fighter D 340.0
Scrambler A 453.2
Scrambler B 431.7
Scrambler C 483.6
Scrambler D 471.2","parrett","yes","multiple_spatial","sexual selection; experimental evolution","pi in various subsets of genome","decreased","see document","populations selected for the weapon had reduced autosomal diversity compared to those not selected for the weapon; no consistent patterns in sex chromosomes; see figure ","parrett","no",NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"parrett","yes","How did a cold snap affect genomic diversity in a non-biting midge population?","Increases purging selection","multiple_temporal","sexual selection","poolseq estimateSH","yes","","","parrett","no",NA,NA,NA,NA,NA,NA,"controlled for drift but not really a focal result","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.1038/s41559-022-01816-w",2022,"Nature Ecology and Evolution",6,"9","er","Parrett J.M.; Chmielewski S.; Aydogdu E.; ≈Åukasiewicz A.; Rombauts S.; Szubert-Kruszy≈Ñska A.; Babik W.; Konczal M.; Radwan J.","Parrett","","genomic evidence that a sexually selected trait captures genome-wide variation and facilitates the purging of genetic load","3 part paper; starts with experimental evolution; then simulation; then natural evolution. Time scale years calculated with 10.1111/eva.12334","article","invertebrate","Eurytemora affinis","experimental","poolseq","experimental",NA,"10","10.1038_s41559-022-01816-w.pdf","experimental","experimental"
