"","X","File.Name","first_author_ep","measured_in_time_series_data_ep","hypothesized_driver_of_change_ep","level_of_analysis_ep","increase_decrease_ep","method.of.estimating_ep","raw.stats_ep","author_nd","measured_in_time_series_data_nd","level_of_analysis_nd","hypothesized_driver_of_change_nd","method_of_estimating_nd","increase_decrease_nd","raw_stats_nd","notes_nd","first_author_ib","measured_in_time_series_data_ib","level_of_analysis_ib","hypothesized_driver_of_change_ib","increase_decrease_ib","method_of_estimating_ib","raw_stats_ib","help_needed_ib","first_author_ps","population.structure._ps","genetic.structure._ps","spatial.structure._ps","genomic.structure._ps","measured_in_time_series_data_ps","hypothesized_driver_of_change_ps","increase_decrease_ps","method_of_estimating_ps","raw_stats_ps","measured_in_time_series_data_gf","level_of_analysis_gf","hypothesized_driver_of_change_gf","increase_decrease_gf","method_of_estimating_gf","raw_stats_gf","author_selection","measured_in_time_series_data_selection","central_question_regarding_selection_selection","outcome_of_central_question_selection","selection_level_of_analysis_selection","selection_hypothesized_driver_of_change_selection.x","selection_method_of_estimating_selection","selection_candidate_gene_list_selection","selection_coefficent_overall_selection","selection_coefficent_meanofoutliers_selection","first_author_last_name_drift","measured_in_time_series_data_drift","level_of_analysis_drift","hypothesized_driver_of_change_drift","method_of_estimating_drift","did_drift_have_effect_drift","raw_stats_drift","help_needed_drift","notes_drift","Author_fst","measured_in_time_series_data_fst","level_of_analysis_fst","hypothesized_diver_of_change_fst","spacetime_or_time_fst","sliding_window_vs_entire_genome_fst","candidate_gene_list_fst","raw_stats_fst","first_auhtor_tajima","measured_in_time_series_data_tajima","level_of_analysis_tajima","hypothesized_driver_of_change_tajima","sliding_window_vs_entire_genome_tajima","raw_stats_tajima","canidate_gene_tajima","help_needed_tajima","first_author_mc","measured_in_time_series_data_mc","level_of_anaylsis_mc","hypothesized_driver_of_change_mc","increase_decrease_mc","method_of_estimating_mc","raw_stats_mc","help_needed_mc","order_parallel","parallel._parallel","author_parallel","measured_in_time_series_data_parallel","evidence_of_parallel_evolution_parallel","snp_evidence_parallel","gene_protein_evidence_parallel","parallel_diversity.change_parallel","notes_parallel","collectedmonth_paperinfo","doi_paperinfo","year_paperinfo","journal_paperinfo","volume_paperinfo","issue_paperinfo","dbs_paperinfo","authors_paperinfo","first_author_paperinfo","keywords_paperinfo","Title_paperinfo","Notes_paperinfo","Type_paperinfo","Study.system_paperinfo","Taxon_paperinfo","Driver.of.change_paperinfo","Data.type_paperinfo","Experimental.design_paperinfo","Time.scale.years_paperinfo","Time.scale.generations_paperinfo","File.Name.1_paperinfo","revised","Driver.of.change.std_paperinfo"
"71",72,"10.1093_jeb_voae068.pdf",NA,NA,NA,NA,NA,NA,NA,"parvizi","yes","multiple_spatial","insecticide","Watterson�s theta; Tajima�s estimator, _�)","decreased then increased","see document","diversity decreased from the 1950s through the 60s and 70s when effects of insecticide were highest; increased since 70s",NA,NA,NA,NA,NA,NA,NA,NA,"Parvizi","Yes","Yes","No","Yes","yes","pesticide use","no change","PCA, Fst, and admixture","see doc",NA,NA,NA,NA,NA,NA,"Parvizi","yes","What are the patterns of selection in Helicoverpa armigera in response to repeated insecticide use","Found alternating trajectories of allele freq over time","multiple_temporal","insecticide; anthropology","allele freq, fst, MAF ratios","yes (gene families)",NA,NA,"parvizi","yes","multiple_temporal","insecticide resistance","genetic diversity","yes","reduction in genetic diversity in decades with highest impact of insecticides",NA,NA,"Parvizi","yes","multiple temporal","pesticide use","time","genomewide","yes","see doc","parvizi","yes","multiple_temporal","insecticide; agriculture change; anthropogenic ","entire genome","see notes doc","no","Not entirely sure about entire genome v sliding window",NA,NA,NA,NA,NA,NA,NA,NA,78,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.1093/jeb/voae068",2024,"J EVOLUTION BIOL",37,"8","NA NA wos","Parvizi; E; Bachler; A; Zwick; A; Walsh; TK; Moritz; C; McGaughran; A","Parvizi","cotton bollworm; genetic drift; insecticide resistance; museum genomics; selection","historical museum samples reveal signals of selection and drift in response to changing insecticide use in an agricultural pest moth","","article ","invertebrate","Helicoverpa armigera","anthropogenic","reduced representation","historical","92","576","10.1093_jeb_voae068.pdf","anthropogenic","anthropogenic"
"77",78,"10.1093_molbev_msac189.pdf",NA,NA,NA,NA,NA,NA,NA,"wu","yes","multiple_spatial","antropogenic driven biodiversity loss","pi over windows","decreased","see document","diversity decreased over 100 years in four different species; stats hard to extract",NA,NA,NA,NA,NA,NA,NA,NA,"Wu","Yes","No","No","No","no",NA,NA,NA,NA,"yes","multiple_spatial; multiple_temporal","natural","decrease","admixture graph analysis","(Model graph in doc) We detected six optimal models, which showed only negligible differences in K values and all converged on one similar gene flow scenario, albeit with slight differences in the exact proportions of gene flow.  indicates gene flow from stricklandii into suavis at a genomic contribution of 16– 48% depending on the model. There is also secondary allele sharing between stricklandii and the eastern Javan clade at a proportion of 12–22%.We additionally detected a 12% contribution into stricklandii from an unknown donor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wu","yes","multiple spatial","pet trade and habitat loss; anthropogenic factors","time","window","no","see doc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.1093/molbev/msac189",2022,"MOL BIOL EVOL",39,"9","NA NA wos","Wu; MY; Lau; CJ; Ng; EYX; Baveja; P; Gwee; CY; Sadanandan; K; Ferasyi; TR; Haminuddin; Ramadhan; R; Menner; JK; Rheindt; FE","Wu","extinction; introgression; white-rumped shama; conservation","genomes from historic dna unveil massive hidden extinction and terminal endangerment in a tropical asian songbird radiation","","article ","vertebrate","Copsychus spp.","revisit","WGS","historical","133","55","10.1093_molbev_msac189.pdf","anthropogenic","anthropogenic"
"93",94,"10.1093_molbev_msw254.pdf",NA,NA,NA,NA,NA,NA,NA,"wecek","yes","multiple_spatial","hunting","pairwise genomic divergence","decreased",NA,NA,"wecek",NA,NA,NA,NA,NA,NA,NA,"Wecek","Yes","Yes","No","No","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wecek","no",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.1093/molbev/msw254",2017,"MOL BIOL EVOL",34,"3","NA scopus wos","Wecek K.; Hartmann S.; Paijmans J.L.A.; Taron U.; Xenikoudakis G.; Cahill J.A.; Heintzman P.D.; Shapiro B.; Baryshnikov G.; Bunevich A.N.; Crees J.J.; Dobosz R.; Manaserian N.; Okarma H.; Tokarska M.; Turvey S.T.; Wojcik J.M.; Zy≈Ça W.; Szymura J.M.; Hofreiter M.; Barlow A.","Wecek","Admixture; Ancient DNA; Aurochs; Bison bonasus; Domestic cattle; European bison; Hybridization","complex admixture preceded and followed the extinction of wisent in the wild","generation time/range given in article","article","vertebrate","bison bonasus","natural evolution","WGS","historical","642","132.09","10.1093_molbev_msw254.pdf","anthropogenic","anthropogenic"
"94",95,"10.1093_molbev_msx247.pdf","seabra","yes",NA,"multiple_spatial",""," R package NB","see notes file","seabra","yes","multiple_spatial","adaptation to captivity; experimental evolution","pi","decreased","Between generation 6 and 50, significant decrease in mean diversity both in Ad (from 0.099 to 0.091) and Gro (from 0.105 to 0.098; generation term in ANCOVA, F1,361�441.03, P < 0.0001), as expected from the loss of rare alleles. Differences between Ad and Gro founder populations not significant",NA,"seabra",NA,NA,NA,NA,NA,NA,NA,"Seabra","No","Yes","No","No","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seabra","yes","Do samples from different populations evolve differently in the lab?","yes","multiple_temporal","lab domestication; experimental","CMH, ANCOVA","yes","","","seabra","no",NA,NA,NA,NA,NA,NA,"controlled for drift but not really a focal result","Seabra","yes","multiple temporal","differences in ancestral altitude but now in common environment","time","genomewide","yes","see doc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,"Yes","seabra","yes","no","no",NA,NA,"good paper for discussion of parallel evolution","august","10.1093/molbev/msx247",2018,"",NA,"","","Seabra; Sofia G.; Fragata; Ines; Antunes; Marta A.; Faria; Goncalo S.; Santos; Marta A.; Sousa; Vitor C.; Simoes; Pedro; Matos; Margarida","Seabra","","Different Genomic Changes Underlie Adaptive Evolution in Populations of Contrasting History","","article","invertebrate","","experimental","WGS","experimental","#N/A","50","10.1093_molbev_msx247.pdf","experimental","experimental"
"101",102,"10.1098_rspb.2015.0801.pdf","morley","no",NA,NA,NA,NA,NA,"morley","yes","multiple_spatial","host-pathogen","pi","varies","Nucleotide diversity was correlated with treatment; Spearman�s r 1�4 20.9, p 1�4 0.0374) faster invading treatments had higher nucleotide diversity among their populations ","",NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"morley","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,"Yes","morley","yes","partial","partial",NA,NA,"novel substitution occurred in 12/24 populations; parallelism was less in populations that shifted rapidly onto novel hosts ","may","10.1098/rspb.2015.0801",2015,"P ROY SOC B-BIOL SCI",282,"1813","NA scopus wos","Morley V.J.; Mendiola S.Y.; Turner P.E.","Morley","Adaptation; Alphavirus; Contingency; Epistasis; Experimental evolution; Sindbis virus","rate of novel host invasion affects adaptability of evolving rna virus lineages","","article","virus","Sindbis virus","host-pathogen","reduced representation","experimental","variable depending on treatment","variable depending on treatment","10.1098_rspb.2015.0801.pdf","host-pathogen","host-pathogen"
"111",112,"10.1111_eva.12594.pdf",NA,NA,NA,NA,NA,NA,NA,"wales","yes","multiple_spatial","domestication","pi","decreased","modern cultivar pi = 0.0091; ethnographic = 0.0127","Their groups are confusing: decided to compare modern cultivars with ethnographic samples from early 1900s- span of age is therefore around 100 years ","wales",NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wales","no",NA,NA,NA,NA,NA,NA,NA,NA,"wales","no",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,"Yes","wales","no",NA,NA,NA,NA,NA,"may","10.1111/eva.12594",2019,"EVOL APPL",12,"1","NA NA wos","Wales; N; Akman; M; Watson; RHB; Barreiro; FS; Smith; BD; Gremillion; KJ; Gilbert; MTP; Blackman; BK","Wales","ancient DNA; archaeobotany; domestication; genetic bottleneck; Helianthus annuus; paleogenomics; plant evolution; sunflower","ancient dna reveals the timing and persistence of organellar genetic bottlenecks over 3;000 years of sunflower domestication and improvement","","article","plant","H. annuus spp. annus & macrocarpus","domestication; anthropogenic","poolseq","historical","3,100","","10.1111_eva.12594.pdf","anthropogenic","anthropogenic"
"114",115,"10.1111_gcb.17126.pdf","benham","yes","habitat loss; urbanization; anthropogenic","multiple_inferred","decrease; potenial for slight expansion in Bay Area, compared 3 populations and models from historic and moden samples, varying patterns","GADMA2",NA,"benham","yes","multiple_spatial","habitat loss","pi","decreased; no change","change in pi  from historic to now across pops: -0.0000102, -0.0000582, -0.0000207, 3.9E-06, 0.0000138","also calculated watterson's theta; data extracted from fig. s5 with web plot digitizer focusing on subsampled comparison","benham",NA,NA,NA,NA,NA,NA,NA,"Benham","Yes","No","No","No","yes","coastal habitat loss; urbanization, agriculture, and mining; anthropogenic","decrease","PCA and admixture","see doc","yes","multiple_spatial; multiple_temporal","habitat loss; popluation decline; anthropogenic","increase","DyStruct (similar to Admixture)","temporal variation in population structure, with modern birds from the central and northern California	coast	exhibiting	a	17%	(Morro	Bay)	to	64%	(Humboldt	Bay)	increase in the proportion of ancestry shared with inland eastern California birds. These temporal changes point to a recent increase in the level of gene flow from inland eastern California populations into coastal populations.","benham","yes","Do alleles associated with local adaptation to tidal marshes resist gene flow from inland populations? / does selection prevent gene flow?","no","multiple_temporal","gene flow resulting from urbanization; anthropogenic","test for correlation between historical deviation in allele frequency and change in allele frequency through time for each SNP","",NA,NA,"benham","yes","multiple_temporal","habitat destruction; anthropogenic","allele frequency change","no","found gene flow more likely driver of results than drift",NA,NA,"Benham","yes","multiple spatial","coastal habitat loss; urbanization, agriculture, and mining; anthropogenic","spacetime","both","","see doc","benham","yes","multiple_spatial","habitat degredation; anthropogenic","sliding window","see notes doc","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,123,"Yes","benham","no",NA,NA,NA,NA,NA,"august","10.1111/gcb.17126",2024,"",NA,"","","Benham; Phred M.; Walsh; Jennifer; Bowie; Rauri C. K.","Benham","","Spatial variation in population genomic responses to over a century of anthropogenic change within a tidal marsh songbird","","article","vertebrate","Bird","anthropogenic","reduced representation","historical","128","48","10.1111_gcb.17126.pdf","anthropogenic","anthropogenic"
"117",118,"10.1111_jeb.14152.pdf","johnson","no",NA,NA,NA,NA,NA,"johnson","yes","multiple_temporal","drought; experimental evolution","pi","no change","pi = 0.0105 � 0.0040 in ancestral, 0.0104 � 0.0040 in drought, and 0.0104 � 0.0040 in water treatments",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Johnson","Yes","No","No","No","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"johnson","yes","Is evolution in response to drought parallel?","no","multiple_temporal","drought; experimental","SNP frequency shifts; BayPass","yes",NA,NA,"johnson","no",NA,NA,NA,NA,NA,NA,"acknowledges that drift may have played a roll but doesn't say how much ","","","","","","","","","johnson",NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,126,"Yes","johnson","yes","no","no","partial",NA,"some changes in similar stress genes, but largely little overlap in snps","may","10.1111/jeb.14152",2023,"Journal of Evolutionary Biology",36,"3","er","Johnson S.E.; Tittes S.; Franks S.J.","Johnson","Brassica rapa; drought adaptation; experimental evolution; parallel evolution; rapid evolution; resurrection approach","rapid; nonparallel genomic evolution of brassica rapa (field mustard) under experimental drought","","article","plant","Brassica rapa","experimental","reduced representation","experimental",NA,"6","10.1111_jeb.14152.pdf","anthropogenic","anthropogenic"
"123",124,"10.1111_mec.16111.pdf","gompert","yes","gene flow","single",NA,"census, contemporary variance (Bayesian bootstrap Gompert 2016), genetic diversity (ANGSD)","see notes file","gompert","yes","multiple_spatial","natural evolution","pi","no change","pi = 0.0092 ","full details in table S4; no sig variation among years","gompert",NA,NA,NA,NA,NA,NA,NA,"Gompert","Yes","Yes","No","No","yes","fragmented populations","no change","PCA, pairwise Fst","see doc","yes","multiple_spatial; multiple_temporal","natural","constant","dadi and Bayesian F model","assume a mutation rate of 2.9 × 10−9 (from the butterfly Heliconius melpomene; Keightley et al., 2015) and π = 0.0092 (our mean estimate), diversity levels suggest a global, long- term effective population size of ~793,000. This is ~4500 times greater than the average variance effective population size we estimated and thus would require ~4500 populations of this size connected by gene flow","gompert","no",NA,NA,NA,NA,NA,NA,NA,NA,"gompert","yes","multiple_temporal","natural evolution","allele frequency change","yes","Change in allele frequency delta p ~ 0.02 and 5% of SNPs showing change >0.05 over a few generations",NA,NA,"Gompert","yes","multiple temporal","fragmented populations","spacetime","genomewide","no","see doc","gompert",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,"Yes","gompert","no",NA,NA,NA,NA,NA,"august","10.1111/mec.16111",2021,"",NA,"","","","","","Genomic time-series data show that gene flow maintains high genetic diversity despite substantial genetic drift in a butterfly species","","article","invertebrate","Lycaeides idas","natural evolution","reduced representation","repeated","4 or 5","4 or 5","10.1111_mec.16111.pdf","natural evolution","natural evolution"
"124",125,"10.1111_mec.16451.pdf",NA,NA,NA,NA,NA,NA,NA,"abdullahi","yes","multiple_temporal","pollution","genome-wide SNP-alpha diversity; Ma et al. 2020 scientific reports","decreased","Most recent: diversity = 2100.7; older time points diversity: 2627.6, 2668.3, 2585.8","full details in table S2",NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"abdullahi","yes","How does historical exposure to chemicals affect future tolerance to chemicals in Daphnia?","candidate gene list","multiple_temporal","pollution; anthropogenic","alpha and beta snp diversity","incomprehensible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.1111/mec.16451",2022,"Molecular Ecology",31,"11","NA scopus NA","Abdullahi M.; Zhou J.; Dandhapani V.; Chaturvedi A.; Orsini L.","Abdullahi","","historical exposure to chemicals reduces tolerance to novel chemical stress in daphnia (waterflea)","Resurrection experiment; Assumes a generation per year","article","invertebrate","Daphnia magna","pollution; anthropogenic","WGS","historical","50","50","10.1111_mec.16451.pdf","anthropogenic","anthropogenic"
"128",129,"10.1111_mec.17274.pdf","kellner","yes","hunting; anthropogenic","multiple_temporal","decrease","mean per-site Watterson's theta estimator, Kumar and Subramanian 2002","","kellner","yes","multiple_spatial","hunting","sliding window pi","no change; non-significant decrease","pre-hunting period: 3.34 10 -4; during hunting 3.35 10^-4; post hunting 3.23 10^-4","","kellner",NA,NA,NA,NA,NA,NA,NA,"Kellner","Yes","Yes","No","No","yes","hunting; anthropogenic factors","increase","PCA and admixture","see doc. ""The assignment of modern groups to estimate genetic clusters strongly correlates with geography, while ancient groups do not.""","yes","multiple_spatial; multiple_temporal","hunting; population decline; anthropogenic","decrease","PCA, NGSadmix","(Fig in doc) the spatiotemporal groups of ancient individuals are not strongly distinct from one another in the admixture analysis .","Kellner","yes","What genomic effects have a population bottleneck had on reindeer in Svalbard?","many regions of the genome experienced selection pre-and during hunting, but now they are undergoing drift","multiple temporal","hunting; anthropogenic","Fay and Wu's H, Fst","yes",NA,NA,"kellner","yes","multiple_temporal","bottleneck; human hunting; population loss; anthropogenic","allele frequency change","yes","median heterozygosity reduced by 26% over last 4000 years",NA,NA,"Kellner","yes","multiple temporal","hunting, anthropogenic","spacetime","both","yes","see doc","kellner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,"Yes","kellner","no",NA,NA,NA,NA,NA,"may","10.1111/mec.17274",2024,"MOL ECOL",33,"5","NA NA wos","Kellner; FL; Le Moullec; M; Ellegaard; MR; Rosvold; J; Peeters; B; Burnett; HA; Pedersen; AO; Brealey; JC; Dussex; N; Bieker; VC; Hansen; BB; Martin; MD","Kellner","ancient DNA; bottleneck; conservation genomics; genomic erosion; population genomics; Svalbard reindeer","a palaeogenomic investigation of overharvest implications in an endemic wild reindeer subspecies","Generation time from https://www.cell.com/iscience/fulltext/S2589-0042(23)01888-6","article ","vertebrate","Rangifer tarandus platyrhynchus","overharvest; anthropogenic","WGS","historical","2,500","417","10.1111_mec.17274.pdf","anthropogenic","anthropogenic"
"129",130,"10.1126_sciadv.aax0530.pdf",NA,NA,NA,NA,NA,NA,NA,"retel","yes","multiple_temporal","host-pathogen","model of allele frequencies","fluctuates","diversity increased and decreased during host-pathogen coevolution","see word document",NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"retel","yes","What role does selection play in host-virus coevolution?","candidate gene list","multiple_temporal","host-pathogen","allele frequency change","yes",NA,NA,"retel","no",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,"Yes","retel","yes","partial","partial",NA,NA,"some parallelism observed in parasites but not hosts","august","10.1126/sciadv.aax0530",2019,"",NA,"","","Retel C.; Kowallik V.; Huang W.; Werner B.; K√ºnzel S.; Becks L.; Feulner P.G.D.","Retel","","The feedback between selection and demography shapes genomic diversity during coevolution","","article","algae","Chlorella variabilis ","host-pathogen","WGS","experimental","0.2739726 or 100","100","10.1126_sciadv.aax0530.pdf","host-pathogen","host-pathogen"
"137",138,"10.1128_msystems.01477-21.pdf","hwang","yes",NA,"single",NA,"pneutral in nonconserved third codon positions as previously described by Kashtan et al. (9) In short, the formula Ne = 1.5pneutral/(m(324pneutral)) ",">2.3 x10^9","hwang","yes","multiple_spatial","natural evolution","nucleotide diversity","no change",NA,"Lots of pi stats but no comparisons over time",NA,NA,NA,NA,NA,NA,NA,NA,"Hwang","Yes","No","No","No","yes","temperature","increased","PCA and pairwise Fst","see doc",NA,NA,NA,NA,NA,NA,"hwang","yes","How does selection act on a microbe in different environments? Does it act on whole genomes or genes?","Largely through effects on regulatory genes","multiple_spatial","natural evolution","pN/pS; Fst","yes","","","huwang","no",NA,NA,NA,NA,NA,NA,NA,"Hwang","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,"No",NA,NA,NA,NA,NA,NA,NA,"august","10.1128/msystems.01477-21",2022,"",NA,"","","Hwang; Yunha; Girguis; Peter R.","Hwang","","Differentiated Evolutionary Strategies of Genetic Diversification in Atlantic and Pacific Thaumarchaeal Populations","","article","bacteria","","natural evolution","metagenomics","repeated","2 or 1","#N/A","10.1128_msystems.01477-21.pdf","natural evolution","natural evolution"
"144",145,"10.1186_s12862-022-02083-w.pdf","muller-girard","no",NA,NA,NA,NA,NA,"muller-girard","yes","multiple_spatial","conservation","heterozygosity","increased",NA,NA,"muller-girard",NA,NA,NA,NA,NA,NA,NA,"Muller-Girard","Yes","Yes","No","No","yes","translocation; anthropogenic factors","decrease","admixture","see doc","yes","multiple_spatial; multiple_temporal","translocation; anthropogenic","increase","STRUCTURE, STRUCTURE HARVESTER, and Clumpak; and admixture ancestry model","see figure","muller-girard","no",NA,NA,NA,NA,NA,NA,NA,NA,"muller_girard","no",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,"Yes","muller-girard","no",NA,NA,NA,NA,NA,"may","10.1186/s12862-022-02083-w",2022,"BMC ECOL EVOL",22,"1","NA NA wos","Muller-Girard; M; Fowles; G; Duchamp; J; Kouneski; S; Mollohan; C; Smyser; TJ; Turner; GG; Westrich; B; Doyle; JM","Muller-Girard","Reproductive skew; Inbreeding; Genetic restoration; Inbreeding depression; Translocation; Landscape genetics; Dispersal","a novel snp assay reveals increased genetic variability and abundance following translocations to a remnant allegheny woodrat population","discussed in lab; SNP panel; generation time from https://www.fs.usda.gov/database/feis/animals/mammal/neci/all.html#16 that references 16. Banfield; A. W. F. 1974. The mammals of Canada. Toronto; ON: University of Toronto Press. 438 p. [21084]","article","vertebrate","neotoma magister","experimental","reduced representation","repeated","3","3.27","10.1186_s12862-022-02083-w.pdf","anthropogenic","anthropogenic"
"152",154,"10.1371_journal.pbio.3002333.pdf","shpak","yes","insecticide, anthropogenic","multiple_temporal","none","Bayesian","see notes file","shpak","yes","multiple_temporal","colonization; anthropogenic change","pi","decreased","pi 1800s: 0.00319; pi 1933 0.00260; pi 2010s 0.00234","Has caveats about decrease in diversity: damage in older samples could inflate diversity, and different methods used in modern samples could deflate diversity","shpak","yes","multiple_temporal","increased migration; increasing human activity; anthrogenic; natural evolution","increase; more inbreeding found","proportion of IBD","see notes doc","","Schpak","No","Yes","No","No","yes","range expansion and urbanization; anthropogenic factors","both","PCA and pairwise Fst","see doc",NA,NA,NA,NA,NA,NA,"Shpak","yes","What changes in genomic diversity can be tracked by comparing histroical to modern samples?","Several genes including those related to antiviral resistance & circadian ","multiple_tempotal","natural evolution; increasing human inpact","PBE","yes",NA,NA,"shpak","no",NA,NA,NA,NA,NA,NA,"talks a lot about drift but doesn�t seem to measure it directly","Schpak","yes","multiple temporal","range expansion and urbanization; anthropogenic factors","spacetime","both","yes","see doc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,"Yes","shpak","no",NA,NA,NA,NA,NA,"may","10.1371/journal.pbio.3002333",2023,"PLoS Biology",21,"10-Oct","NA scopus NA","Shpak M.; Ghanavi H.R.; Lange J.D.; Pool J.E.; Stensmyr M.C.","Shpak","","genomes from historical drosophila melanogaster specimens illuminate adaptive and demographic changes across more than 200 years of evolution","","article ","invertebrate","Drosophila melanogaster","natural evolution","WGS","historical","223","8505","10.1371_journal.pbio.3002333.pdf","anthropogenic","anthropogenic"
"160",162,"10.1371_journal.ppat.1009744.pdf",NA,NA,NA,NA,NA,NA,NA,"tohma","yes","multiple_temporal","host-pathogen","site-by-site Shannon entropy","increased","see document","Data hard to extract, not really comparable methods to other studies",NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tohma","yes","How have noroviruses evolved since the 1970s?","diversifying selection leads to new variants","multiple_temporal","epidemic","MEME, FUBAR, HyPhy, Datamonkey","yes","","","tohma","no",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"tohoma","yes","single","recombination restriction; natural evolution",NA,"tempest,beast","see notes doc",NA,175,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.1371/journal.ppat.1009744",2021,"PLOS PATHOG",17,"7","NA NA wos","Tohma; K; Lepore; CJ; Martinez; M; Degiuseppe; JI; Khamrin; P; Saito; M; Mayta; H; Nwaba; AUA; Ford-Siltz; LA; Green; KY; Galeano; ME; Zimic; M; Stupka; JA; Gilman; RH; Maneekarn; N; Ushijima; H; Parra; GI","Tohma","","genome-wide analyses of human noroviruses provide insights on evolutionary dynamics and evidence of coexisting viral populations evolving under recombination constraints","","article","virus","Norovirus","natural evolution","WGS","historical","47","4,765","10.1371_journal.ppat.1009744.pdf","host-pathogen","host-pathogen"
"171",173,"10.3390_pathogens12081065.pdf",NA,NA,NA,NA,NA,NA,NA,"Norris","yes","multiple_spatial","host-pathogen","clustering","increased",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Norris","Yes","No","No","No","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"norris","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.3390/pathogens12081065",2023,"Pathogens",12,"8","NA scopus NA","Norris M.H.; Zincke D.; Daegling D.J.; Krigbaum J.; McGraw W.S.; Kirpich A.; Hadfield T.L.; Blackburn J.K.","Norris","anthrax; Bacillus; Bcbva; emerging infections; phylogenomics; toxin","genomic and phylogenetic analysis of bacillus cereus biovar anthracis isolated from archival bone samples reveals earlier natural history of the pathogen","","article ","bacteria","Bacillus cereus biovar anthracis","natural evolution","WGS","historical","16","186,880","10.3390_pathogens12081065.pdf","host-pathogen","host-pathogen"
