0,File Name,'effective population',first_author,measured_in_time series_data,hypothesized_driver_of_change,level_of_analysis,increase_decrease,method of estimating,raw stats
103,10.1093_molbev_msx254.pdf,Yes,hardy,yes,NA,single,NA,Templeton 2006 equation,"972 autosomes, 748 X chromosome"
104,10.1093_molbev_msz183.pdf,No,NA,NA,NA,NA,NA,NA,NA
105,10.1093_ve_vead049.pdf,No,NA,NA,NA,NA,NA,NA,NA
106,10.1093_ve_veae012.pdf,No,NA,NA,NA,NA,NA,NA,NA
107,10.1093_ve_vex035.pdf,Yes,carratala,yes,ultraviolet radiation; disinfection; resistence; host-pathogen,multiple_temporal,increase,unbiased Fs0 estimator of Ne Jorde and Ryman (2007),NA
108,10.1093_ve_vez020.pdf,No,NA,NA,NA,NA,NA,NA,NA
109,10.1098_rspb.2015.0801.pdf,Yes,morley,no,NA,NA,NA,NA,NA
110,10.1098_rspb.2021.0577.pdf,Yes,stahlke,yes,NA,multiple_spatial,NA,spatpg,Population Ne; Fentonbury 35; Forestier 35; Freycinet 34; Naraawntapu 37; West Pencil Pine 26
111,10.1098_rspb.2022.1857.pdf,Yes,burny,no,NA,NA,NA,NA,NA
112,10.1098_rstb.2022.0190.pdf,No,NA,NA,NA,NA,NA,NA,NA
113,10.1099_MGEN.0.000553.pdf,No,NA,NA,NA,NA,NA,NA,NA
114,10.1099_jgv.0.000258.pdf,No,NA,NA,NA,NA,NA,NA,NA
115,10.1099_mgen.0.001170.pdf,Yes,aiewsakun,yes,epidemic,multiple_temporal,increase; peakiness with covid outbreak trends,mlskygrid function in the R package mlesky ,NA
116,10.1111_1755-0998.13167.pdf,Yes,gauthier,no,NA,NA,NA,NA,NA
117,10.1111_1755-0998.13837.pdf,Yes,novo,yes,experimental,multiple_inferred,test of method for inferring historical Ne,GONE; census,NA
118,10.1111_cobi.13889.pdf,Yes,marshall,yes,reintroduction,multiple_temporal,increase,LD method in NeEstimator V2.1,spring 2014 24 [8.6-infinite]; autumn 2017 278 [102.7 - infinite]; autumn 2018 356 180.4-4713.8]; summer 2018/19 778 [387.7 - 36063.4]; wild-caught breeders 392.1 [73.7 - infinite]; single cohort F1 30.6 [26.7 - 35.1]; single cohort F2 12.3 [7.9 - 21.3]; spring 2015 infinite; autumn 2019 infinite
119,10.1111_eva.12594.pdf,No,NA,NA,NA,NA,NA,NA,NA
120,10.1111_eva.13656.pdf,Yes,howe,yes,domestication; anthropogenic,multiple_temporal,decrease,linkage disequilibrium method implemented in NeEstimator v2.1,see notes file
121,10.1111_evo.12849.pdf,No,NA,NA,NA,NA,NA,NA,NA
123,10.1111_gcb.17126.pdf,Yes,benham,yes,habitat loss; urbanization; anthropogenic,multiple_inferred,"decrease; potenial for slight expansion in Bay Area, compared 3 populations and models from historic and moden samples, varying patterns",GADMA2,NA
124,10.1111_jam.15806.pdf,No,NA,NA,NA,NA,NA,NA,NA
125,10.1111_jeb.13764.pdf,No,NA,NA,NA,NA,NA,NA,NA
126,10.1111_jeb.14152.pdf,Yes,johnson,no,NA,NA,NA,NA,NA
127,10.1111_mec.12260.pdf,Yes,therkildsen,yes,fisheries; temperature; anthropogenic,multiple_spatial,NA,pseudo-likelihood estimator of Wang (2001) in MNE2,see notes file
128,10.1111_mec.13615.pdf,No,NA,NA,NA,NA,NA,NA,NA
131,10.1111_mec.15085.pdf,Yes,rêgo,yes,host plant shift; experimental,multiple_temporal,increase; population bottleneck at onset of experiment followed by increase and then decrease,Bayesian bootstrap method Gompert (2016),see notes file
132,10.1111_mec.15579.pdf,Yes,langmüller,yes,heat; experimental,multiple_temporal,none,Jónás et al 2016,see notes file
133,10.1111_mec.15687.pdf,Yes,phillips,yes,NA,multiple_spatial,NA,CLEAR,none
134,10.1111_mec.16111.pdf,Yes,gompert,yes,gene flow,multiple_temporal,,"census, contemporary variance (Bayesian bootstrap Gompert 2016), genetic diversity (ANGSD)",see notes file
135,10.1111_mec.16451.pdf,No,NA,NA,NA,NA,NA,NA,NA
136,10.1111_mec.16503.pdf,Yes,robin,yes,hunting; anthropogenic,multiple_inferred,decrease,Bayesian Skyline Plot,see notes file
137,10.1111_mec.16748.pdf,Yes,pfenninger,no,NA,NA,NA,NA,NA
138,10.1111_mec.16760.pdf,Yes,osborne,yes,captive breeding; anthropogenic,multiple_temporal,increase," standard diversity measures (Nei's unbiased gene diversity [uHS], observed heterozygosity [HO] and allelic richness [AR]), variance genetically effective population size (NeV), and linkage disequilibrium effective population size (NeD).",
139,10.1111_mec.16933.pdf,No,NA,NA,NA,NA,NA,NA,NA
140,10.1111_mec.17274.pdf,Yes,kellner,yes,hunting; anthropogenic,multiple_temporal,decrease,"mean per-site Watterson's theta estimator, Kumar and Subramanian 2002",
141,10.1126_sciadv.aax0530.pdf,No,NA,NA,NA,NA,NA,NA,NA
142,10.1128_AEM.00179-18.pdf,No,NA,NA,NA,NA,NA,NA,NA
143,10.1128_JB.00587-20.pdf,No,NA,NA,NA,NA,NA,NA,NA
144,10.1128_JVI.01080-14.pdf,No,NA,NA,NA,NA,NA,NA,NA
145,10.1128_JVI.01519-08.pdf,Yes,bird,yes,epidemic,multiple_temporal,increase,"The timing of any potential population expan- sion event was calculated using the formula t   /2l, where  is the mutation rate in terms of substitutions/site/year and l is the length of the nucleotide sequence.",
146,10.1128_JVI.02055-14.pdf,No,NA,NA,NA,NA,NA,NA,NA
147,10.1128_mBio.00987-21.pdf,No,NA,NA,NA,NA,NA,NA,NA
148,10.1128_mSystems.00495-21.pdf,No,NA,NA,NA,NA,NA,NA,NA
149,10.1128_msystems.01477-21.pdf,Yes,hwang,yes,NA,single,NA,"pneutral in nonconserved third codon positions as previously described by Kashtan et al. (9) In short, the formula Ne = 1.5pneutral/(m(324pneutral)) ",>2.3 x10^9
150,10.1128_spectrum.01219-22.pdf,No,NA,NA,NA,NA,NA,NA,NA
151,10.1128_spectrum.03128-23.pdf,No,NA,NA,NA,NA,NA,NA,NA
152,10.1186_1471-2148-13-46.pdf,No,NA,NA,NA,NA,NA,NA,NA
153,10.1186_s12711-024-00900-y.pdf,Yes,somenzi,yes,domestication; anthropogenic,multiple_spatial,NA,SneP; currentNe,see notes file
154,10.1186_s12862-016-0662-8.pdf,No,NA,NA,NA,NA,NA,NA,NA
155,10.1186_s12862-021-01789-7.pdf,No,NA,NA,NA,NA,NA,NA,NA
156,10.1186_s12862-022-02083-w.pdf,Yes,muller-girard,no,NA,NA,NA,NA,NA
157,10.1186_s12864-016-3298-6.pdf,No,NA,NA,NA,NA,NA,NA,NA
159,10.1186_s12864-021-07700-4.pdf,No,NA,NA,NA,NA,NA,NA,NA
160,10.1186_s12866-017-1111-6.pdf,No,NA,NA,NA,NA,NA,NA,NA
161,10.1186_s12866-021-02158-6.pdf,No,NA,NA,NA,NA,NA,NA,NA
162,10.1186_s13059-018-1503-4.pdf,Yes,mallard,yes,NA,single,NA,Jónás et al 2016,219
163,10.1186_s13059-021-02425-9.pdf,Yes,otte,yes,NA,multiple_spatial,NA,poolseq R package,none
164,10.1371_journal.pbio.0030300.pdf,No,NA,NA,NA,NA,NA,NA,NA
166,10.1371_journal.pbio.2001586.pdf,No,NA,NA,NA,NA,NA,NA,NA
167,10.1371_journal.pbio.3002333.pdf,Yes,shpak,yes,"insecticide, anthropogenic",multiple_temporal,none,Bayesian,see notes file
168,10.1371_journal.pgen.1006585.pdf,No,NA,NA,NA,NA,NA,NA,NA
169,10.1371_journal.pgen.1009722.pdf,No,NA,NA,NA,NA,NA,NA,NA
170,10.1371_journal.pgen.1011333.pdf,No,NA,NA,NA,NA,NA,NA,NA
171,10.1371_journal.pntd.0011527.pdf,No,NA,NA,NA,NA,NA,NA,NA
172,10.1371_journal.pone.0147549.pdf,No,NA,NA,NA,NA,NA,NA,NA
173,10.1371_journal.pone.0201838.pdf,Yes,hubert,no,NA,NA,NA,NA,NA
174,10.1371_journal.ppat.1008298.pdf,Yes,pearson,yes,infection,multiple_temporal,increase; increase after infection then stabilize over 17 years,Bayesian Skygrid Plot,see notes file
175,10.1371_journal.ppat.1009744.pdf,No,NA,NA,NA,NA,NA,NA,NA
176,10.1371_journal.ppat.1010993.pdf,Yes,carrasquilla,no,NA,NA,NA,NA,NA
177,10.1371_journal.ppat.1012090.pdf,Yes,yu,yes,epidemic,multiple_temporal,both; change in strain proportion of population over time,developed their own method;,see notes file
178,10.15252_msb.20188462.pdf,No,NA,NA,NA,NA,NA,NA,NA
179,10.1534_g3.115.023200.pdf,Yes,shim,yes,NA,single,NA,Wright–Fisher ABC-based approach (WFABC),176
180,10.1534_g3.117.043349.pdf,Yes,barghi,yes,NA,multiple_spatial,NA,Jónás et al 2016,none
181,10.1534_genetics.112.143396.pdf,Yes,strelkowa,no,NA,NA,NA,NA,NA
182,10.1534_genetics.118.301824.pdf,Yes,kelly,yes,NA,single,NA,Kelly et al 2013; equation that uses the observed vriance in divergence to estimate Ne,440.9
183,10.3201_eid1909.130377.pdf,No,NA,NA,NA,NA,NA,NA,NA
184,10.3201_eid2701.191541.pdf,No,NA,NA,NA,NA,NA,NA,NA
187,10.3390_genes11040400.pdf,Yes,rêgo,no,NA,NA,NA,NA,NA
188,10.3390_pathogens12081065.pdf,No,NA,NA,NA,NA,NA,NA,NA
189,10.3390_v11080720.pdf,Yes,kupczok,no,NA,NA,NA,NA,NA
190,10.3390_vaccines11101537.pdf,No,NA,NA,NA,NA,NA,NA,NA
191,10.7554_eLife.03568.pdf,No,NA,NA,NA,NA,NA,NA,NA
192,10.7554_eLife.64971.pdf,No,NA,NA,NA,NA,NA,NA,NA
