0,File Name,'selection','balancing selection','purifying selection','positive selection','selection coefficient','gene ontology',fitness',assigned,author,selection_measured_in_time_series_data,central_question_regarding_selection,outcome_of_central_question,selection_level_of_analysis,selection_hypothesized_driver_of_change,selection_method_of_estimating,selection_candidate_gene_list,added_genes_to_list,selection_coefficent_overall,selection_coefficent_meanofoutliers,
15,10.1016_j.cub.2024.01.056.pdf,Yes,No,No,No,No,No,Yes,,laine,no,NA,NA,NA,NA,NA,NA,,NA,NA,
16,10.1016_j.envres.2023.115695.pdf,Yes,No,No,No,No,No,No,,tao,no,NA,NA,NA,NA,NA,NA,,NA,NA,
17,10.1016_j.jasrep.2020.102364.pdf,Yes,No,No,No,No,No,No,,fages,no,NA,NA,NA,NA,NA,NA,,NA,NA,
18,10.1016_j.jfma.2018.01.019.pdf,Yes,No,No,No,No,No,No,,gong,no,NA,NA,NA,NA,NA,NA,,NA,NA,
19,10.1016_j.jgg.2020.10.002.pdf,Yes,No,Yes,No,No,No,No,danny,xu,yes,Do we observe selection in SARS-CoV-2 within a patient over the course of their infection?,"no, some signals but could be drift",multiple_temporal,host-pathogen,Ka:Ks,no,NA,,,
20,10.1016_j.meegid.2013.03.035.pdf,Yes,No,No,No,No,No,No,,borges,no,NA,NA,NA,NA,NA,NA,,NA,NA,
21,10.1016_j.meegid.2015.02.023.pdf,No,No,No,No,No,No,No,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
22,10.1016_j.meegid.2019.03.016.pdf,Yes,No,No,No,No,No,No,,arana,no,NA,NA,NA,NA,NA,NA,,NA,NA,
23,10.1016_j.meegid.2021.105153.pdf,Yes,No,No,No,No,No,Yes,,showers,no,NA,NA,NA,NA,NA,NA,,NA,NA,
24,10.1016_j.meegid.2021.105184.pdf,Yes,No,No,No,No,No,Yes,,chen,no,NA,NA,NA,NA,NA,NA,,NA,NA,
25,10.1016_j.meegid.2024.105623.pdf,Yes,No,No,No,No,No,Yes,,castiglioni,no,NA,NA,NA,NA,NA,NA,,NA,NA,
26,10.1016_j.soilbio.2019.05.004.pdf,No,No,No,No,No,No,No,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
27,10.1016_j.watres.2022.118556.pdf,No,No,No,No,No,No,No,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
28,10.1016_j.ympev.2023.107822.pdf,Yes,No,No,No,No,No,No,,huynh,no,NA,NA,NA,NA,NA,NA,,NA,NA,
29,10.1021_acs.est.2c00793.pdf,Yes,No,No,No,No,No,Yes,,wang,yes,How do microbes evolve in response to low levels of antibiotics?,candidate gene list,multiple_temporal,antibiotics,relative fitness (growth curves),yes,yes,NA,NA,
30,10.1038_ismej.2015.241.pdf,Yes,No,No,No,No,No,Yes,,bendall,yes,Do bacterial communities experience genome-wide or gene-wide selective sweeps?,both,multiple_temporal,natural,allele frequency change,yes,yes,NA,NA,
31,10.1038_ncomms3172.pdf,Yes,No,No,Yes,No,No,No,danny,martin,yes,How did the potato blight evolve during and after the Irish potato famine?,candidate gene list; suite of virulence related genes,multiple_temporal,epidemic,gene content analysis,yes,NA,NA,NA,
32,10.1038_s41437-019-0264-5.pdf,Yes,Yes,No,Yes,No,No,No,Ally,qian,yes,Have flower-time related genes in wild barley experienced positive selection compared to reference genes?,yes,multiple_temporal,climate change; anthropogenic,WFABC,yes,NA,,,
33,10.1038_s41437-022-00499-0.pdf,Yes,No,No,No,No,No,No,,ernst,no,NA,NA,NA,NA,NA,NA,,NA,NA,
34,10.1038_s41467-021-21281-6.pdf,Yes,No,No,Yes,No,No,No,henrey,Iranmehr,yes,what are the genomic mechanisms responsible for adaptation,"synchronicity in both hard and soft sweeps, candidate gene list",multiple temporal,oxygen level,allele frequency change,yes,NA,NA,NA,
35,10.1038_s41467-022-31622-8.pdf,Yes,Yes,No,Yes,Yes,Yes,Yes,Ally,Stern,yes,What is the evolutionary genomic response to rapid salinity decline,Found highly parallel polygenic adaptaion to saliity decline,multiple_temporal,salinity; global warming; anthropological; experimental evolution,CMH; chi sq; LMM,yes,NA,see paper for selection coefficent,,
36,10.1038_s41467-023-43391-z.pdf,Yes,No,No,No,No,No,No,,pipek,no,NA,NA,NA,NA,NA,NA,,NA,NA,
37,10.1038_s41477-019-0437-5.pdf,Yes,No,No,No,No,No,No,,ramos-madrigal,no,NA,NA,NA,NA,NA,NA,,NA,NA,
38,10.1038_s41558-023-01696-3.pdf,Yes,No,No,No,No,Yes,Yes,,turbek,yes,Are climate linked loci spatially shifting in response to climate change?,yes,multiple_temporal,climate change; anthropogenic,random forest; lfmm,yes,yes,NA,NA,
39,10.1038_s41559-019-0921-3.pdf,Yes,No,No,Yes,No,No,No,danny,gutaker,yes,How did potatos evole after being brought to Europe from Chile?,Selection on photoperiod genes; candidate gene list,multiple_temporal,globalization; farming; trade; novel environment; anthropogenic,loss of heterozygosity; tajima's d,yes,NA,,,
40,10.1038_s41559-020-1271-x.pdf,Yes,No,No,No,No,No,Yes,,sandberg,no,NA,NA,NA,NA,NA,NA,,NA,NA,
41,10.1038_s41559-022-01665-7.pdf,Yes,No,No,Yes,No,Yes,Yes,danny,frei,yes,Do genes that experienced positive selection in one species more commonly introgress?,yes,multiple_temporal,eutrophication; pollution; anthropogenic,nSL,yes,NA,,,
42,10.1038_s41559-022-01816-w.pdf,Yes,Yes,Yes,No,Yes,No,Yes,danny,parrett,yes,How did a cold snap affect genomic diversity in a non-biting midge population?,Increases purging selection,multiple_temporal,sexual selection,poolseq estimateSH,yes,NA,,,
43,10.1038_s41559-023-02114-9.pdf,Yes,No,No,No,No,No,No,,ferraz,no,NA,NA,NA,NA,NA,NA,,NA,NA,
44,10.1038_s41559-023-02185-8.pdf,Yes,No,No,No,No,No,No,,sun,no,NA,NA,NA,NA,NA,NA,,NA,NA,
45,10.1038_s41564-022-01157-1.pdf,Yes,No,No,No,No,No,Yes,,piel,no,NA,NA,NA,NA,NA,NA,,NA,NA,
46,10.1038_s41586-021-03224-9.pdf,Yes,No,No,Yes,No,Yes,No,henrey,van der Valk,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,
47,10.1038_s41586-022-04824-9.pdf,Yes,No,No,No,No,No,No,,bergström,yes,What role has selection played in recent wolf evolution?,candidate gene list,linear regression on allele frequency ~ sample age; TMRCA sliding window,,,only GO categories,,NA,NA,
48,10.1038_s41591-019-0559-3.pdf,Yes,No,No,No,No,Yes,No,,poyet,no,NA,NA,NA,NA,NA,NA,,NA,NA,
49,10.1038_srep38915.pdf,Yes,No,No,No,No,No,No,,antunes,no,NA,NA,NA,NA,NA,NA,,NA,NA,
50,10.1073_pnas.1400378111.pdf,Yes,No,No,No,Yes,Yes,Yes,,martins,yes,How do drosophila evolve in response to viruses?,candidate gene list,multiple_temporal,disease; three viruses,CMH,yes,NA,NA,0.24 and 0.14,
52,10.1073_pnas.1620410114.pdf,No,No,No,No,No,No,No,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
53,10.1073_pnas.1714246115.pdf,Yes,No,No,No,No,No,Yes,,burghardt,yes,How does selection differ between free living  and legume-symbiotic rhizobial communities?,various findings,multiple_temporal,symbioses,strain frequency over time; mean relative fitness,no; but GO terms,,NA,NA,
54,10.1073_pnas.2201521119.pdf,Yes,Yes,No,Yes,No,Yes,No,henrey,brennan,yes,How has the copepod Acartia tonsa evolved in response to ocean warming and acidification?,candidate gene list,multiple_temporal,climate change; anthropogenic,temporal covariance-based method (cvtk),yes,NA,,,
55,10.1073_pnas.242608099.pdf,No,No,No,No,No,No,No,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
56,10.1080_22221751.2022.2040921.pdf,Yes,No,No,No,No,No,No,,wu,no,NA,NA,NA,NA,NA,NA,,NA,NA,
58,10.1093_evolut_qpad054.pdf,Yes,No,No,No,Yes,No,Yes,,sinitambirivoutin,simuation,NA,NA,NA,NA,NA,NA,NA,NA,NA,
59,10.1093_gbe_evaa036.pdf,Yes,No,No,No,Yes,No,Yes,,burny,yes,Can their new experimental method better identify candidate genes?,yes,multiple_temporal,temperature; experimental,"fishers exact test, CMH, forward simulations",no,NA,0,"0.26, 0.27; 0.08, 0.09, 0.12",
60,10.1093_gbe_evaa073.pdf,Yes,No,No,Yes,Yes,No,Yes,danny,barghi,simuation,simuation,simuation,simuation,simuation,simuation,simuation,NA,simuation,simuation,
61,10.1093_gbe_evaa178.pdf,Yes,No,Yes,Yes,No,No,Yes,danny,maddamsetti,yes,Does selection act on mutation rate in E Coli?,yes,multiple_temporal,mutation rate,novel mutations over time,yes,NA,NA,NA,NA
62,10.1093_gbe_evaa188.pdf,Yes,No,No,Yes,No,Yes,Yes,Ally,Parejo,yes,What genes are experiencing selection in Swiss honey bee,Several genes are experiencig selection specifically related to xenobionics,multiple_temporal,pesticide; disease; change in agriculture; anthropogenic,XP-EHH & SNPeff,yes,NA,NA,NA,
63,10.1093_gbe_evab070.pdf,Yes,No,Yes,Yes,No,No,Yes,Ally,Maddamsetti,yes,Why do abundant proteins evolve slowly?,"Direct quation not really ansswered, but says result of paper help with designing an experiment that will be able to answer this question",multiple_spatial,DNA repair mutation; mutation; natural evolution,comparisons of density of observed mutation w/ spearman correlatio coefficients,no,NA,NA,NA,
64,10.1093_gbe_evab154.pdf,Yes,No,No,Yes,Yes,No,Yes,Ally,Lanmuller,simuation,simuation,simuation,simuation,simuation,simuation,simuation,NA,sim,sim,
65,10.1093_gbe_evab237.pdf,Yes,No,No,Yes,No,Yes,Yes,danny,colbran,yes,How has selection on gene-regulation genes shaped ancient European evolution?,"metabolic and immune functions, dietary metabolism",multiple_temporal,social changes among ancient humans,PrediXcan,yes,NA,,,
66,10.1093_gbe_evab239.pdf,Yes,No,No,Yes,Yes,No,Yes,danny,burny,yes,Do highly inbred Drosophila strains have highly parallel selection responses?,yes,multiple_temporal,heat; experimental,allele frequency change,no,NA,see notes,see notes,
67,10.1093_gbe_evac074.pdf,Yes,No,Yes,Yes,No,No,No,danny,schick,yes,How does a heterogenous environment affect effective population size and therefore parallelism of evolution and selection?,"Spatially structured populations have lower Ne and therefore a lower supply of beneficial mutations, leading to divergent evolution.",multiple_temporal,novel environment,nonsynonymous:synonymous,yes,NA,NA,NA,NA
69,10.1093_gbe_evac153.pdf,Yes,No,No,No,No,No,No,,dyrhage,no,NA,NA,NA,NA,NA,NA,,NA,NA,
70,10.1093_gbe_evad113.pdf,Yes,Yes,Yes,Yes,Yes,No,Yes,danny,barata,yes,How does section act differenlty between a polyamorous and a monogamous population?,More pronounced variants in poly; bigger effect on X chrom in poly and on male sex linked chrom XR  ,multiple_spatial,sexual selection,BAIT-ER,yes,NA,,,
71,10.1093_gbe_evae063.pdf,Yes,No,No,No,No,No,No,,gill,no,NA,NA,NA,NA,NA,NA,,NA,NA,
72,10.1093_gbe_evae114.pdf,Yes,No,No,No,No,No,No,,larsson,no,NA,NA,NA,NA,NA,NA,,NA,NA,
73,10.1093_gbe_evy007.pdf,Yes,No,No,Yes,No,Yes,Yes,henrey,Cridland,yes,how do populations of bees differ how have invasive species impated the genomes of California bee populations,candidate gene list,multiple temporal,"invasive species, anthropogenic ","Fst, novel mutations, gene ontology",yes,NA,NA,NA,
74,10.1093_genetics_iyab142.pdf,Yes,No,No,No,No,No,Yes,,michelotti,no,NA,NA,NA,NA,NA,NA,,NA,NA,
75,10.1093_icb_icac098.pdf,Yes,Yes,No,Yes,Yes,No,Yes,henrey,pfenninger,yes,How do natural populations adapt to fluctuating environmental changes?,positive selection; concerted evolution of multiple traits in correlation with environment,multiple_temporal,climate,allele frequency change; selection coefficients for haplotypes,yes,NA,,,
77,10.1093_infdis_jix298.pdf,Yes,No,No,No,No,No,No,,folkvardsen,no,NA,NA,NA,NA,NA,NA,,NA,NA,
78,10.1093_jeb_voae068.pdf,Yes,Yes,Yes,Yes,No,No,Yes,Ally,Parvizi,yes,What are the patterns of selection in Helicoverpa armigera in response to repeated insecticide use,Found alternating trajectories of allele freq over time,multiple_temporal,insecticide; anthropology,"allele freq, fst, MAF ratios",yes (gene families),NA,NA,NA,
79,10.1093_molbev_msab147.pdf,Yes,Yes,Yes,Yes,Yes,No,No,henrey,immel,yes,What effect did the plague have on immune gene diversity?,candidate gene list,multiple_temporal,epidemic,allele frequency change; Danc (Differentiation with Ancestral); Fst,yes,NA,,,
80,10.1093_molbev_msab340.pdf,Yes,No,No,No,No,No,No,,garg,no,NA,NA,NA,NA,NA,NA,,NA,NA,
81,10.1093_molbev_msac014.pdf,Yes,No,No,No,No,No,No,,aneli,no,NA,NA,NA,NA,NA,NA,,NA,NA,
82,10.1093_molbev_msac179.pdf,Yes,No,No,No,No,No,No,,dai,no,NA,NA,NA,NA,NA,NA,,NA,NA,
83,10.1093_molbev_msac182.pdf,Yes,No,Yes,No,No,No,Yes,danny,debray,yes,How does initial evolution of resistance to phages shape future selection in bacteria?,initial genetic mechanisms of resistance predicts future mutations,multiple temporal,host-pathogen,novel mutation identification,yes,NA,,,
84,10.1093_molbev_msac189.pdf,No,No,No,No,No,No,No,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
85,10.1093_molbev_msac241.pdf,Yes,No,No,No,No,No,Yes,,hempel,no,NA,NA,NA,NA,NA,NA,,NA,NA,
86,10.1093_molbev_msac242.pdf,Yes,No,No,Yes,No,No,Yes,henrey,Ament-Velasquez,,How does genetic and environmental diversity impact adaptation (selection) in yeast,"genetic diversity reduced rapidly, with many alleles trending heavily towards fixation or elimination",multiple temporal,varied environment,"alelle frequency changes, de novo mutations",yes,NA,NA,NA,
87,10.1093_molbev_msac248.pdf,Yes,Yes,No,Yes,Yes,No,Yes,danny,linder,yes,How does yeast evolve in response to multiple chemical stressors?,The entire genome is affected across replicates/treatments; candidate gene lists,multiple_temporal,chemical,chi square,yes,NA,,,
88,10.1093_molbev_msad108.pdf,Yes,No,No,No,No,No,Yes,,batarseh,no,NA,NA,NA,NA,NA,NA,,NA,NA,
89,10.1093_molbev_msae053.pdf,Yes,No,No,Yes,Yes,No,Yes,henrey,Poyraz,yes,what is the level of selection on gene expression in Britain based on ancient DNA,candidate gene list,multiple temporal,anthropogenic factors,iHS and SDS,yes,NA,NA,NA,
90,10.1093_molbev_msae108.pdf,Yes,No,No,Yes,No,No,No,henrey,Wang,yes,what are the gentic origins of modern dog breeds and what changes to the genome have occurred from rapid evolution due to selective breeding,candidate gene list,multiple temporal,selective breeding,XP-EHH and Fst,yes,NA,NA,NA,
91,10.1093_molbev_msae128.pdf,Yes,No,Yes,No,No,No,Yes,Ally,Angst,yes,How do allele frequencies of a metapopulation shift over time?,Subpopultaions trends toward intermediate allele freq and then shifted towards right-screwed distrobutions as the pop aged,multiple_temporal,movement between populations; genetic drift; natural evolution,"pairwise fst, allele freq ",no,NA,NA,NA,
92,10.1093_molbev_msq002.pdf,Yes,No,No,Yes,Yes,No,Yes,danny,lynd,yes,Is selection acting on an insecticide resistance gene in Anopheles gambiae?,yes,multiple_temporal,insecticide,EHH,no,NA,0.16,0.16,
94,10.1093_molbev_mst205.pdf,Yes,No,No,No,Yes,No,Yes,,tobler,yes,Are most candidate genes false positives in E&R drosophila studies?,yes,multiple_temporal,temperature; experimental,,yes,NA,NA,NA,
95,10.1093_molbev_msu048.pdf,Yes,No,No,Yes,Yes,Yes,Yes,henrey,Baldwin-Brown,simulation,simulation,simulation,simulation,simulation,simulation,simulation,NA,NA,NA,
96,10.1093_molbev_msu192.pdf,Yes,No,No,No,No,No,No,,skoglund,no,NA,NA,NA,NA,NA,NA,,NA,NA,
97,10.1093_molbev_msu256.pdf,Yes,Yes,No,Yes,Yes,No,No,danny,burke,yes,"Does evolution act in parallel in a sexual species of yeast and if so, what drives it?",Yes and standing genetic variation drives it,multiple_temporal,lab domestication; experimental,allele frequency over time,yes,NA,,,
98,10.1093_molbev_msu320.pdf,Yes,No,No,No,No,No,Yes,,frannsen,yes,What role does LD play during lab selection experiments?,LD plays a major role and can lead to large lists of candidate genes full of false positives,multiple_temporal,heat; experimental,allele frequency change,yes,yes,NA,NA,
99,10.1093_molbev_msv033.pdf,Yes,No,No,No,No,Yes,Yes,,bailey,yes,Does selection environment lead to parallel evolution in bacteria?,"yes, with varying degrees of parallelism",multiple_temporal,sugar type,novel mutation,yes,yes,NA,NA,
100,10.1093_molbev_msv248.pdf,Yes,No,No,Yes,No,Yes,Yes,danny,jha,yes,"How do Drosophila evolve in response to low oxygen, and do the affected genes overlap with selected genes in high altitude human populations?",candidate gene list; yes some do,multiple_temporal,hypoxia,"allele frequency change, glmm, PBS",yes,NA,,,
101,10.1093_molbev_msw254.pdf,No,No,No,No,No,No,No,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
102,10.1093_molbev_msx247.pdf,Yes,Yes,Yes,Yes,No,Yes,Yes,danny,seabra,yes,Do samples from different populations evolve differently in the lab?,yes,multiple_temporal,lab domestication; experimental,"CMH, ANCOVA",yes,NA,,,
103,10.1093_molbev_msx254.pdf,Yes,No,No,Yes,Yes,Yes,Yes,danny,hardy,yes,What is the genetic basis of stavation-selected obesity in drosophila?,candidate gene list,multiple_temporal,starvation,"heterozygosity, fst",yes,NA,,,
104,10.1093_molbev_msz183.pdf,Yes,No,No,No,No,No,Yes,,vlachos,yes,Does gradually increasing the selection strength throughout an E&R iincrease the power to detect alleles?,yes,simulation,simulation,CMH,NA,,NA,NA,
105,10.1093_ve_vead049.pdf,Yes,No,No,No,No,No,Yes,,billard,no,NA,NA,NA,NA,NA,NA,,NA,NA,
106,10.1093_ve_veae012.pdf,Yes,No,No,Yes,No,No,Yes,danny,courcelle,yes,Have different lineages of PPRV evolved under different selection regimes?,yes,multiple_temporal,competition; epidemic,"fixed effect likelihood (FEL), fast unconstrained Bayesian approximation (FUBAR) and mixed methods model of evolution (MEME), branch-site unrestricted statistical test for episodic diversification (BUSTED), RELAX",yes,NA,,,
107,10.1093_ve_vex035.pdf,Yes,No,No,No,Yes,No,Yes,,carratala,yes,Do pathogens develop resistance to UV exposure?,yes,multiple_temporal,UV,novel mutation,yes,NA,NA,NA,
108,10.1093_ve_vez020.pdf,Yes,No,Yes,Yes,No,No,Yes,danny,bialosuknia,yes,How has west nile virus evolved in NY state?,"Largely purging selection, some regions experience positive selection",multiple_temporal,epidemic,dn/ds,yes,NA,NA,NA,NA
109,10.1098_rspb.2015.0801.pdf,Yes,No,No,No,No,No,Yes,,morley,no,NA,NA,NA,NA,NA,NA,,NA,NA,
110,10.1098_rspb.2021.0577.pdf,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ally,Stahlke,yes,Is devil facial tumor disease a novel selective force?,Results suggest that this is a novel selective force,multiple_temporal,disease; natural evolution,"dN/dS; allele shifts, GO enrichment anaylsis, branch-site test, ",yes,NA,NA,NA,
111,10.1098_rspb.2022.1857.pdf,Yes,No,Yes,Yes,No,No,Yes,henrey,Burney,yes,what is the impact of multiple stressors on ,multiple stressors have synergistic effects,multiple temporal,temperature and laboratory conditions,allele frequency changes,no,NA,NA,NA,
112,10.1098_rstb.2022.0190.pdf,Yes,No,No,Yes,No,No,Yes,Ally,Reid,yes,Will parralel polygenic selection occur in atlantic cod in 2 separate populationsg in response to long-term intensive fishing pressure?,found evidence for parallel evolution,multiple_spatial & simulation,overfishing; anthropogenic,allele frequnecy change; convergent correlation stat,no,NA,NA,NA,
113,10.1099_MGEN.0.000553.pdf,Yes,No,No,No,No,No,Yes,,leyn,yes,"How does e coli evolve in response to antibiotics, specifically triclosan?",missnese in fabI gene; candidate gene list,multiple_temporal,antibiotics,muller plots,yes,yes,NA,NA,
114,10.1099_jgv.0.000258.pdf,Yes,No,No,No,No,No,Yes,,diaz,no,NA,NA,NA,NA,NA,NA,,NA,NA,
115,10.1099_mgen.0.001170.pdf,No,No,No,No,No,No,No,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
116,10.1111_1755-0998.13167.pdf,Yes,No,No,No,No,No,Yes,,gauthier,no,NA,NA,NA,NA,NA,NA,,NA,NA,
117,10.1111_1755-0998.13837.pdf,Yes,No,No,No,No,No,No,,novo,no,NA,NA,NA,NA,NA,NA,,NA,NA,
118,10.1111_cobi.13889.pdf,Yes,No,No,No,No,No,Yes,,marshall,no,NA,NA,NA,NA,NA,NA,,NA,NA,
119,10.1111_eva.12594.pdf,Yes,No,No,No,No,No,No,,wales,no,NA,NA,NA,NA,NA,NA,,NA,NA,
120,10.1111_eva.13656.pdf,Yes,No,No,Yes,Yes,No,Yes,Ally,Howe,yes,To what extent does domestication selection act on the salmon genome?,Domestication selection has a significant impact on the genome and can cause farm raised salmons to be significantly different from their wild counter parts in just a few generations,multiple_spatial,domestication; farming; anthropogenic,Fst; local scores; fischer's exact test,no,NA,NA,NA,
121,10.1111_evo.12849.pdf,Yes,No,No,No,No,No,Yes,,phillips,yes,Does selection to glucose systematically increase lactose evolvaability?,yes,multiple_temporal,nutrient limitation; experimental,novel mutation identification,yes,yes,NA,NA,
123,10.1111_gcb.17126.pdf,Yes,No,No,No,No,No,Yes,,benham,yes,Do alleles associated with local adaptation to tidal marshes resist gene flow from inland populations? / does selection prevent gene flow?,no,multiple_temporal,gene flow resulting from urbanization; anthropogenic,test for correlation between historical deviation in allele frequency and change in allele frequency through time for each SNP,,,NA,NA,
124,10.1111_jam.15806.pdf,No,No,No,No,No,No,No,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
125,10.1111_jeb.13764.pdf,Yes,No,Yes,No,Yes,No,Yes,Ally,Selveshwari,yes,Will the same selective pressue result in different evolutionary responses?,"Some genes are shared between lines, but changing the selective pressue at different physiological states lead to different genes evolving",multiple_spatial,UV; different growth phases; experimental evolution,dN/dS; functional grouping of mutations,yes,NA,NA,NA,
126,10.1111_jeb.14152.pdf,Yes,No,No,No,No,No,Yes,,johnson,yes,Is evolution in response to drought parallel?,no,multiple_temporal,drought; experimental,SNP frequency shifts; BayPass,yes,yes,NA,NA,
127,10.1111_mec.12260.pdf,Yes,No,No,No,No,No,Yes,,therkildsen,yes,What genomic signatures are detected over time; are they parallel between populations,candidate gene list,multiple_temporal,overfishing; anthropogenic,bayescan; Fdist,yes,yes,NA,NA,
128,10.1111_mec.13615.pdf,Yes,No,No,No,No,Yes,Yes,,franks,yes,Evolution of Brassica rapa in response to drought,candidate gene list,multiple_temporal,drought,fst; tajima's d,yes,yes,NA,NA,
130,10.1111_mec.14240.pdf,Yes,No,No,No,No,Yes,Yes,,eoche-bosy,yes,How do potatos evolve resistance to the potato cyst nematode,candidate gene list,multiple_temporal,pathogen,BayPass,yes,yes,NA,NA,
131,10.1111_mec.15085.pdf,Yes,No,No,Yes,Yes,No,Yes,danny,rêgo,yes,Is selection acting in parallel on seed beetles that are adapting to a marginal host plant,"yes, mostly",multiple_temporal,symbioses,"allele frequency change, relative selection coefficient",no,NA,"In particular, the average intensity of selec_ tion was 0.388 in L14 from P to F4, and 0.207 and 0.211 in sublines A and B between the F4 and F16 generations ",,
132,10.1111_mec.15579.pdf,Yes,No,No,Yes,Yes,No,No,henrey,Langmuller,yes,what is the minimum number of generations needed to observe complex adaptation in evolve and resequence experiments,only a subset of selection targets are detected early in the experiment,multiple temporal,heat; experimental,ROC-like curve,yes,NA,NA,NA,
133,10.1111_mec.15687.pdf,Yes,Yes,No,No,Yes,No,Yes,danny,phillips,yes,How does the number of time points sampled affect the identification of candidate regions that experienced selection?,8 time points is beneficial but not beyond that; some alleles have constant selection coefficients and some have dynamic,multiple_temporal,nutrient limitation; experimental,CLEAR; allele frequency change; CMH,yes,NA,NA,NA,NA
134,10.1111_mec.16111.pdf,Yes,No,No,No,Yes,No,Yes,,gompert,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,
135,10.1111_mec.16451.pdf,Yes,No,No,No,No,Yes,Yes,,abdullahi,yes,How does historical exposure to chemicals affect future tolerance to chemicals in Daphnia?,candidate gene list,multiple_temporal,pollution; anthropogenic,alpha and beta snp diversity,incomprehensible,,NA,NA,
136,10.1111_mec.16503.pdf,Yes,No,No,No,No,No,Yes,,robin,no,NA,NA,NA,NA,NA,NA,,NA,NA,
137,10.1111_mec.16748.pdf,Yes,Yes,No,Yes,No,Yes,Yes,danny,pfenninger,yes,How did a cold snap affect genomic diversity in a biting midge population?,candidate gene list,multiple_temporal,cold temperature,tajima's d,yes,NA,NA,NA,NA
138,10.1111_mec.16760.pdf,Yes,No,No,No,No,No,Yes,,osborne,no,NA,NA,NA,NA,NA,NA,,NA,NA,
139,10.1111_mec.16933.pdf,Yes,No,No,Yes,No,No,Yes,danny,besnier,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,
