pdf,hypothesized_driver_of_change,denovo_or_derivedlist,confirmed_yn,gene_name,IMG Gene ID,IMG Locus Tag ,ensembl,Brapa gene name,ENSGMOG,Globodera pallida,Globodera rostochienis
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,ast,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,crq,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,lbm,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,nompA,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,wun,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,fry,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,H15,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,fz2,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Pino,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,spen,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,drongo,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Nle,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,l_2_k09913,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Rpp30,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Pka-R2,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,qkr58E-3,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Pph13,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Ac78C,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Plap,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,stan,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,kin17,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,cry,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG3164,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,gukh,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Taf10b,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Nipped-B,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Ndg,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Eaat2,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,l_1_G0196,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Cdk5alpha,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG7686,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,PCB,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,MED15,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Prp18,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,jbug,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Taf10,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG4341,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,sut4,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,sut1,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,aru,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG1463,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG2543,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG15728,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Tomosyn,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG4004,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG9413,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG9514,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG9512,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG9503,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG5877,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG13003,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG7556,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG17598,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG17600,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,ND-15,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG3645,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Ent1,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG4213,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG11885,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG13692,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,BBS8,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG4164,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG4297,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Tspo,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG11835,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG2794,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG2807,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,cold,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG13689,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG2839,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,GABA-B-R3,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG13947,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG3544,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Saf6,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Pex12,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG4291,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG13950,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG15824,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,IA-2,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG4415,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Atg4a,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG4629,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG14339,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG4577,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,IntS14,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG14341,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG5118,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG5001,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG10869,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG14352,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG7295,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG7289,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG3921,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG15436,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG15630,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,fusl,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG11147,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG11030,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG9171,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG12517,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,fbp,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG3107,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,d4,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG11665,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CCHa2-R,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Spn42De,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Tsp42En,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Tsp42Ep,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Dscam1,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Drat,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG1358,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG1550,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG1882,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG14756,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG13739,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG13954,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG1648,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,hebe,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Pal1,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG15863,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG2292,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,egr,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG2269,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG12917,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG18011,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,KCNQ,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Elp2,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG12341,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG12344,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Pex6,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG12942,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,ND-B14,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,polyph,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Spn47C,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG13229,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Cpr47Ef,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG18335,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG12384,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,tou,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,sano,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG11961,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG10062,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,ASPP,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG13502,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG11073,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG11170,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG11275,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,MED16,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Swim,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Liprin-gamma,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG6044,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Mes4,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,ppk12,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG10384,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG4554,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,nsr,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG4269,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG4294,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG4329,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Cyp6d2,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG13510,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG13511,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG4250,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,RYBP,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Obp59a,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG17839,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Rpn12R,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG5577,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG14086,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG5665,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Toll-9,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG5910,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG7324,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,ebd2,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG14567,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG2022,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG1113,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,mRpS9,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,skap,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,beat-IIa,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG14301,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG18208,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG14298,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG14297,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,EndoA,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG6013,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG6026,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG6040,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Cyp12a5,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG5835,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,unc79,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,CG6231,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Ktl,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,HHEX,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,cDIP,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,SIFaR,NA,NA,NA,NA,NA,NA,
