"","File.Name","X0","X.selection.","X.balancing.selection.","X.purifying.selection.","X.positive.selection.","X.selection.coefficient.","X.gene.ontology.","fitness.","assigned","author","selection_measured_in_time_series_data","central_question_regarding_selection","outcome_of_central_question","selection_level_of_analysis","selection_hypothesized_driver_of_change","selection_method_of_estimating","selection_candidate_gene_list","added_genes_to_list","selection_coefficent_overall","selection_coefficent_meanofoutliers","X.x","X.y","doi","year","authors","first_author.y","keywords","Title","Notes","Study.system","Taxon","Driver.of.change","Data.type","Experimental.design","Time.scale.years","Time.scale.generations","Driver.of.change.std"
"57","10.1093_gbe_evaa188.pdf",62,"Yes","No","No","Yes","No","Yes","Yes","Ally","Parejo","yes","What genes are experiencing selection in Swiss honey bee","Several genes are experiencig selection specifically related to xenobionics","multiple_temporal","pesticide; disease; change in agriculture; anthropogenic","XP-EHH & SNPeff","yes",NA,NA,NA,"",58,"10.1093/gbe/evaa188",2020,"Parejo; M; Wragg; D; Henriques; D; Charrière; JD; Estonba; A","Parejo","Apis mellifera mellifera; museum genomics; genetic diversity; selection signatures; haplotype phasing; biodiversity","digging into the genomic past of swiss honey bees by whole-genome sequencing museum specimens","","invertebrate","Apis mellifera mellifera","natural evolution","WGS","historical","141","56","natural evolution"
"58","10.1093_gbe_evab070.pdf",63,"Yes","No","Yes","Yes","No","No","Yes","Ally","Maddamsetti","yes","Why do abundant proteins evolve slowly?","Direct quation not really ansswered, but says result of paper help with designing an experiment that will be able to answer this question","multiple_spatial","DNA repair mutation; mutation; natural evolution","comparisons of density of observed mutation w/ spearman correlatio coefficients","no",NA,NA,NA,"",59,"10.1093/gbe/evab070",2021,"Maddamsetti; R","Maddamsetti","purifying selection; experimental evolution; protein evolution","universal constraints on protein evolution in the long-term evolution experiment with escherichia coli","","microbes","escherichia coli","experimental","metagenomics","experimental","30","60000","experimental"
"60","10.1093_gbe_evab237.pdf",65,"Yes","No","No","Yes","No","Yes","Yes","danny","colbran","yes","How has selection on gene-regulation genes shaped ancient European evolution?","metabolic and immune functions, dietary metabolism","multiple_temporal","social changes among ancient humans","PrediXcan","yes",NA,"","","",61,"10.1093/gbe/evab237",2021,"Colbran L.L.; Johnson M.R.; Mathieson I.; Capra J.A.","Colbran","","Tracing the Evolution of Human Gene Regulation and Its Association with Shifts in Environment","","vertebrate","Mammal","natural evolution","WGS","historical","38000","1266.666667","natural evolution"
"61","10.1093_gbe_evab239.pdf",66,"Yes","No","No","Yes","Yes","No","Yes","danny","burny","yes","Do highly inbred Drosophila strains have highly parallel selection responses?","yes","multiple_temporal","heat; experimental","allele frequency change","no",NA,"see notes","see notes","",62,"10.1093/gbe/evab239",2021,"Burny C.; Nolte V.; Dolezal M.; Schlötterer C.","Burny","Drosophila melanogaster; evolve and resequence; experimental evolution; inbred strains; parallelism; polygenic trait","highly parallel genomic selection response in replicated drosophila melanogaster populations with reduced genetic variation","Time scale years calculated from 10.1007/978-1-59745-365-3_3","invertebrate","Drosophila melanogaster","experimental","poolseq","experimental",NA,"20","experimental"
"62","10.1093_gbe_evac074.pdf",67,"Yes","No","Yes","Yes","No","No","No","danny","schick","yes","How does a heterogenous environment affect effective population size and therefore parallelism of evolution and selection?","Spatially structured populations have lower Ne and therefore a lower supply of beneficial mutations, leading to divergent evolution.","multiple_temporal","novel environment","nonsynonymous:synonymous","yes",NA,NA,NA,NA,63,"10.1093/gbe/evac074",2022,"Schick A.; Shewaramani S.; Kassen R.","Schick","diversification; evolve-and-resequence experiments; nutrient adaptation; Pseudomonas aeruginosa; spatial structure","genomics of diversification of pseudomonas aeruginosa in cystic fibrosis lung-like conditions","Time scale years calculated from 10.1002/9780471729259.mc06e01s25","microbes","Pseudomonas aeruginosa","host-pathogen","WGS","experimental","0.038","220","host-pathogen"
"64","10.1093_gbe_evad113.pdf",70,"Yes","Yes","Yes","Yes","Yes","No","Yes","danny","barata","yes","How does section act differenlty between a polyamorous and a monogamous population?","More pronounced variants in poly; bigger effect on X chrom in poly and on male sex linked chrom XR  ","multiple_spatial","sexual selection","BAIT-ER","yes",NA,"","","",65,"10.1093/gbe/evad113",2023,"Barata C.; Snook R.R.; Ritchie M.G.; Kosiol C.","Barata","","Selection on the Fly: Short-Term Adaptation to an Altered Sexual Selection Regime in Drosophila pseudoobscura","","invertebrate","Drosophila pseudoobscura","experimental","poolseq","experimental","#N/A","200","experimental"
"67","10.1093_gbe_evy007.pdf",73,"Yes","No","No","Yes","No","Yes","Yes","henrey","Cridland","yes","how do populations of bees differ how have invasive species impated the genomes of California bee populations","candidate gene list","multiple temporal","invasive species, anthropogenic ","Fst, novel mutations, gene ontology","yes",NA,NA,NA,"",68,"10.1093/gbe/evy007",2018,"Cridland J.M.; Ramirez S.R.; Dean C.A.; Sciligo A.; Tsutsui N.D.","Cridland","Apis mellifera; demography; population genomics","genome sequencing of museum specimens reveals rapid changes in the genetic composition of honey bees in california","8 weeks/generation from https://doi.org/10.1016/S0065-2806(06)33001-9
","invertebrate","apis mellifera","natural evolution","WGS","historical","105","682.5","natural evolution"
"69","10.1093_icb_icac098.pdf",75,"Yes","Yes","No","Yes","Yes","No","Yes","henrey","pfenninger","yes","How do natural populations adapt to fluctuating environmental changes?","positive selection; concerted evolution of multiple traits in correlation with environment","multiple_temporal","climate","allele frequency change; selection coefficients for haplotypes","yes",NA,"","","",70,"10.1093/icb/icac098",2022,"Pfenninger; Markus; Foucault; Quentin","Pfenninger","","Population Genomic Time Series Data of a Natural Population Suggests Adaptive Tracking of Fluctuating Environmental Changes","","invertebrate","Chironomus riparius","natural evolution","poolseq","repeated","3","27","natural evolution"
"71","10.1093_jeb_voae068.pdf",78,"Yes","Yes","Yes","Yes","No","No","Yes","Ally","Parvizi","yes","What are the patterns of selection in Helicoverpa armigera in response to repeated insecticide use","Found alternating trajectories of allele freq over time","multiple_temporal","insecticide; anthropology","allele freq, fst, MAF ratios","yes (gene families)",NA,NA,NA,"",72,"10.1093/jeb/voae068",2024,"Parvizi; E; Bachler; A; Zwick; A; Walsh; TK; Moritz; C; McGaughran; A","Parvizi","cotton bollworm; genetic drift; insecticide resistance; museum genomics; selection","historical museum samples reveal signals of selection and drift in response to changing insecticide use in an agricultural pest moth","","invertebrate","Helicoverpa armigera","anthropogenic","reduced representation","historical","92","576","anthropogenic"
"72","10.1093_molbev_msab147.pdf",79,"Yes","Yes","Yes","Yes","Yes","No","No","henrey","immel","yes","What effect did the plague have on immune gene diversity?","candidate gene list","multiple_temporal","epidemic","allele frequency change; Danc (Differentiation with Ancestral); Fst","yes",NA,"","","",73,"10.1093/molbev/msab147",2021,"Immel; A; Key; FM; Szolek; A; Barquera; R; Robinson; MK; Harrison; GF; Palmer; WH; Spyrou; MA; Susat; J; Krause-Kyora; B; Bos; KI; Forrest; S; Hernandez-Zaragoza; DI; Sauter; J; Solloch; U; Schmidt; AH; Schuenemann; VJ; Reiter; E; Kairies; MS; Weiss; R; Arnold; S; Wahl; J; Hollenbach; JA; Kohlbacher; O; Herbig; A; Norman; PJ; Krause; J","Immel","ancient DNA; aDNA; HLA; plague; Yersinia pestis; human immunity; natural selection","analysis of genomic dna from medieval plague victims suggests long-term effect of yersinia pestis on human immunity genes","","vertebrate","Homo sapiens","host-pathogen","WGS","historical","520","17","host-pathogen"
"76","10.1093_molbev_msac182.pdf",83,"Yes","No","Yes","No","No","No","Yes","danny","debray","yes","How does initial evolution of resistance to phages shape future selection in bacteria?","initial genetic mechanisms of resistance predicts future mutations","multiple temporal","host-pathogen","novel mutation identification","yes",NA,"","","",77,"10.1093/molbev/msac182",2022,"Debray R.; De Luna N.; Koskella B.","Debray","bacteriophages; epistasis; experimental evolution; historical contingency; microbial evolution; parallel evolution","historical contingency drives compensatory evolution and rare reversal of phage resistance","","microbes","Pseudomonas syringae","experimental","WGS","experimental","0.0986","345.6","experimental"
