File Name,'linkage disequilibrium'
10.1371_journal.ppat.1010993.pdf,Yes
10.1371_journal.ppat.1012090.pdf,No
10.15252_msb.20188462.pdf,No
10.1534_g3.115.023200.pdf,No
10.1534_g3.117.043349.pdf,Yes
10.1534_genetics.112.143396.pdf,Yes
10.1534_genetics.118.301824.pdf,Yes
10.3201_eid1909.130377.pdf,No
10.3201_eid2701.191541.pdf,No
10.3389_fmars.2020.00205.pdf,No
10.3390_d13110584.pdf,No
10.3390_genes11040400.pdf,Yes
10.3390_pathogens12081065.pdf,No
10.3390_v11080720.pdf,Yes
10.3390_vaccines11101537.pdf,No
10.7554_eLife.03568.pdf,No
10.7554_eLife.64971.pdf,No
