,File.Name,doi,year,authors,first_author.y,keywords,Title,Notes,Study.system,Taxon,Driver.of.change,Data.type,Experimental.design,Time.scale.years,Time.scale.generations,Driver.of.change.std
36,10.1038_s41558-023-01696-3.pdf,10.1038/s41558-023-01696-3,2023,Turbek; SP; Bossu; C; Rayne; C; Gruppi; C; Kus; BE; Whitfield; M; Smith; TB; Paxton; EH; Bay; RA; Ruegg; KC,Turbek,,historical dna reveals climate adaptation in an endangered songbird,Generation time from https://www.fs.usda.gov/rm/pubs/rmrs_gtr060.pdf,vertebrate,Empidonax traillii extimus,climate change; anthropogenic,WGS,historical,35,23,anthropogenic
39,10.1038_s41559-022-01665-7.pdf,10.1038/s41559-022-01665-7,2022,Frei; D; De-Kayne; R; Selz; OM; Seehausen; O; Feulner; PGD,Frei,,genomic variation from an extinct species is retained in the extant radiation following speciation reversal,,vertebrate,Coregonus gutturosus; C. arenicolus; C. wartmanni; C. macrophthalmus,climate change; anthropogenic,WGS,historical,80,16,anthropogenic
113,10.1111_eva.12594.pdf,10.1111/eva.12594,2019,Wales; N; Akman; M; Watson; RHB; Barreiro; FS; Smith; BD; Gremillion; KJ; Gilbert; MTP; Blackman; BK,Wales,ancient DNA; archaeobotany; domestication; genetic bottleneck; Helianthus annuus; paleogenomics; plant evolution; sunflower,ancient dna reveals the timing and persistence of organellar genetic bottlenecks over 3;000 years of sunflower domestication and improvement,,plant,H. annuus spp. annus & macrocarpus,domestication; anthropogenic,poolseq,historical,"3,100",,anthropogenic
67,10.1093_gbe_evae114.pdf,10.1093/gbe/evae114,2024,Larsson; MNA; Miranda; PM; Pan; L; Vural; KB; Kaptan; D; Soares; AER; Kivikero; H; Kantanen; J; Somel; M; √ñzer; F; Johansson; AM; Stor√•; J; G√ºnther; T,Larsson,sheep; ancient DNA; Baltic; breeds; domestication,ancient sheep genomes reveal four millennia of north european short-tailed sheep in the baltic sea region,Assuming 3 year generation time from here https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8826587/,vertebrate,Ovis aires,domestication; anthropogenic,WGS,historical,4151,1383.666667,anthropogenic
114,10.1111_eva.13656.pdf,10.1111/eva.13656,2024,Howe; NS; Hale; MC; Waters; CD; Schaal; SM; Shedd; KR; Larson; WA,Howe,domestication selection; hatchery; low-coverage whole-genome sequencing; rapid adaptation; salmon; Southeast Alaska,genomic evidence for domestication selection in three hatchery populations of chinook salmon; oncorhynchus tshawytscha,,vertebrate,Oncorhynchus tshawytscha,domestication; anthropogenic,WGS,historical,32,9,anthropogenic
145,10.1186_s12862-021-01789-7.pdf,10.1186/s12862-021-01789-7,2021,O‚ÄôHara N.B.; Franks S.J.; Kane N.C.; Tittes S.; Rest J.S.,O‚ÄôHara,Alternaria brassicae; Brassica rapa; Climate change; Drought; Necrotrophic fungal pathogen response; Resurrection approach,evolution of pathogen response genes associated with increased disease susceptibility during adaptation to an extreme drought in a brassica rapa plant population,Resurrection experiment,plant,Brassica rapa,climate change; anthropogenic,WGS,historical,27,27,anthropogenic
164,10.1371_journal.ppat.1010993.pdf,10.1371/journal.ppat.1010993,2022,Carrasquilla; M; Early; AM; Taylor; AR; Ospina; AK; Echeverry; DF; Anderson; TJC; Mancilla; E; Aponte; S; C√°rdenas; P; Buckee; CO; Rayner; JC; S√°enz; FE; Neafsey; DE; Corredor; V,Carrasquilla,,resolving drug selection and migration in an inbred south american plasmodium falciparum population with identity-by-descent analysis,,microbes,Plasmodium falciparum,drug resistance; anthropogenic,WGS,repeated,24,4370,anthropogenic
129,10.1111_mec.16933.pdf,10.1111/mec.16933,2024,Besnier F.; Skaala √ò.; Wennevik V.; Ayllon F.; Utne K.R.; Fjeldheim P.T.; Andersen-Fjeldheim K.; Knutar S.; Glover K.A.,Besnier,phenotypic plasticity; salmon maturation; sexual conflict; six6; vgll3,overruled by nature: a plastic response to environmental change disconnects a gene and its trait,Generation time seems hard to estimate; they discuss proportion of salmon that are mature at 1 year; so I'm going to say 1.5 year gen time,vertebrate,Salmo salar,climate change; anthropogenic,reduced representation,historical,33,22,anthropogenic
59,10.1093_gbe_evab070.pdf,10.1093/gbe/evab070,2021,Maddamsetti; R,Maddamsetti,purifying selection; experimental evolution; protein evolution,universal constraints on protein evolution in the long-term evolution experiment with escherichia coli,,microbes,escherichia coli,experimental,metagenomics,experimental,30,60000,experimental
1,10.1002_ece3.2402.pdf,10.1002/ece3.2402,2016,Nouhaud P.; Tobler R.; Nolte V.; Schl√∂tterer C.,Nouhaud,Adaptation; evolve and resequence; experimental evolution; isofemale line; whole-genome sequencing,ancestral population reconstitution from isofemale lines as a tool for experimental evolution,,invertebrate,Drosophila simulans & melanogaster,experimental,poolseq,experimental,3,50,experimental
4,10.1002_evl3.143.pdf,10.1002/evl3.143,2019,Hoedjes K.M.; van den Heuvel J.; Kapun M.; Keller L.; Flatt T.; Zwaan B.J.,Hoedjes,Adaptation; diet; longevity; reproduction; ‚Äúevolve and resequence‚Äù,distinct genomic signals of lifespan and life history evolution in response to postponed reproduction and larval diet in drosophila,,invertebrate,Drosophila melanogaster,experimental,poolseq,experimental,NA,40,experimental
33,10.1038_s41467-022-31622-8.pdf,10.1038/s41467-022-31622-8,2022,Stern D.B.; Anderson N.W.; Diaz J.A.; Lee C.E.,Stern,,genome-wide signatures of synergistic epistasis during parallel adaptation in a baltic sea copepod,Time scale year generated from 10.1080/01647959108683894,microbes,Rhizoglyphus robini,experimental,poolseq,experimental,NA,45,experimental
40,10.1038_s41559-022-01816-w.pdf,10.1038/s41559-022-01816-w,2022,Parrett J.M.; Chmielewski S.; Aydogdu E.; ≈Åukasiewicz A.; Rombauts S.; Szubert-Kruszy≈Ñska A.; Babik W.; Konczal M.; Radwan J.,Parrett,,genomic evidence that a sexually selected trait captures genome-wide variation and facilitates the purging of genetic load,3 part paper; starts with experimental evolution; then simulation; then natural evolution. Time scale years calculated with 10.1111/eva.12334,microbes,Eurytemora affinis,experimental,poolseq,experimental,NA,10,experimental
50,10.1073_pnas.1714246115.pdf,10.1073/pnas.1714246115,2018,Burghardt L.T.; Epstein B.; Guhlin J.; Nelson M.S.; Taylor M.R.; Young N.D.; Sadowsky M.J.; Tiffin P.,Burghardt,Ensifer meliloti; Evolve and resequence; Facultative mutualism; Medicago; Synthetic community,select and resequence reveals relative fitness of bacteria in symbiotic and free-living environments,,microbes, Ensifer meliloti ,experimental,poolseq,experimental,0.15,,experimental
55,10.1093_gbe_evaa036.pdf,10.1093/gbe/evaa036,2020,Burny C.; Nolte V.; Nouhaud P.; Dolezal M.; Schl√∂tterer C.; Baer C.,Burny,Drosophila simulans; evolve and resequence; experimental evolution; repeatability of evolution,secondary evolve and resequencing: an experimental confirmation of putative selection targets without phenotyping,Time scale years calculated from https://doi.org/10.1016/B978-012158861-8/50007-7,invertebrate,Drosophila simulans,experimental,poolseq,experimental,2.5,70,experimental
62,10.1093_gbe_evab239.pdf,10.1093/gbe/evab239,2021,Burny C.; Nolte V.; Dolezal M.; Schl√∂tterer C.,Burny,Drosophila melanogaster; evolve and resequence; experimental evolution; inbred strains; parallelism; polygenic trait,highly parallel genomic selection response in replicated drosophila melanogaster populations with reduced genetic variation,Time scale years calculated from 10.1007/978-1-59745-365-3_3,invertebrate,Drosophila melanogaster,experimental,poolseq,experimental,NA,20,experimental
65,10.1093_gbe_evad113.pdf,10.1093/gbe/evad113,2023,Barata C.; Snook R.R.; Ritchie M.G.; Kosiol C.,Barata,,Selection on the Fly: Short-Term Adaptation to an Altered Sexual Selection Regime in Drosophila pseudoobscura,,invertebrate,Drosophila pseudoobscura,experimental,poolseq,experimental,#N/A,200,experimental
81,10.1093_molbev_msac248.pdf,10.1093/molbev/msac248,2022,Linder R.A.; Zabanavar B.; Majumder A.; Hoang H.C.-S.; Delgado V.G.; Tran R.; La V.T.; Leemans S.W.; Long A.D.,Linder,complex traits; evolve and resequence; experimental evolution; yeast,adaptation in outbred sexual yeast is repeatable; polygenic and favors rare haplotypes,,microbes,Saccharomyces cerevisiae,experimental,poolseq,experimental,12,200,experimental
87,10.1093_molbev_mst205.pdf,10.1093/molbev/mst205,2014,Tobler R.; Franssen S.U.; Kofler R.; Orozco-Terwengel P.; Nolte V.; Hermisson J.; Schl√∂tterer C.,Tobler,adaptation; D. melanogaster; evolutionary genomics; experimental evolution; next-generation sequencing; standing genetic variation,massive habitat-specific genomic response in d. melanogaster populations during experimental evolution in hot and cold environments,Time scale years calculated from 10.1007/978-1-59745-365-3_3,invertebrate,Drosophila melanogaster,experimental,poolseq,experimental,NA,15,experimental
93,10.1093_molbev_msv248.pdf,10.1093/molbev/msv248,2016,Jha A.R.; Zhou D.; Brown C.D.; Kreitman M.; Haddad G.G.; White K.P.,Jha,adaptation; complex traits; evolution; evolve and resequence; experimental evolution; high-altitude adaptation; hypoxia; polygenic traits; pooled sequencing,shared genetic signals of hypoxia adaptation in drosophila and in high-altitude human populations,Time scale years calculated from 10.1007/978-1-59745-365-3_3,invertebrate,Drosophila melanogaster,experimental,poolseq,experimental,NA,17,experimental
96,10.1093_molbev_msx254.pdf,10.1093/molbev/msx254,2018,Hardy C.M.; Burke M.K.; Everett L.J.; Han M.V.; Lantz K.M.; Gibbs A.G.,Hardy,Drosophila melanogaster; evolve and resequence; experimental evolution; metabolism; obesity; starvation selection,genome-wide analysis of starvation-selected drosophila melanogaster-a genetic model of obesity,,invertebrate,Drosophila melanogaster,experimental,poolseq,experimental,NA,83,experimental
118,10.1111_jeb.13764.pdf,10.1111/jeb.13764,2021,Selveshwari S.; Lele K.; Dey S.,Selveshwari,antibiotic resistance; evolve and resequence; exponential phase; lag phase; UV damage,genomic signatures of uv resistance evolution in escherichia coli depend on the growth phase during exposure,,microbes,Escherichia coli,experimental,poolseq,experimental,NA,"7,200",experimental
124,10.1111_mec.15687.pdf,10.1111/mec.15687,2020,Phillips M.A.; Kutch I.C.; Long A.D.; Burke M.K.,Phillips,adaptation; experimental evolution; genomics; population genomics,increased time sampling in an evolve-and-resequence experiment with outcrossing saccharomyces cerevisiae reveals multiple paths of adaptive change,,microbes,Saccharomyces cerevisiae,experimental,poolseq,experimental,18 weeks,540,experimental
151,10.1186_s13059-018-1503-4.pdf,10.1186/s13059-018-1503-4,2018,Mallard F.; Nolte V.; Tobler R.; Kapun M.; Schl√∂tterer C.,Mallard,Evolve and resequence; Experimental evolution; Pool-Seq; RNASeq; Thermal adaptation,a simple genetic basis of adaptation to a novel thermal environment results in complex metabolic rewiring in drosophila,,invertebrate,Drosophila simulans,experimental,poolseq,experimental,,59,experimental
168,10.1534_g3.117.043349.pdf,10.1534/g3.117.043349,2017,Barghi N.; Tobler R.; Nolte V.; Schl√∂tterer C.,Barghi,Chromosomal; Drosophila; Drosophila; Evolution; Evolve and; Experimental; Inversions; Melanogaster; Resequence; Simulans,drosophila simulans: a species with improved resolution in evolve and resequence studies,,invertebrate,Drosophila melanogaster,experimental,poolseq,experimental,NA,60,experimental
170,10.1534_genetics.118.301824.pdf,10.1534/genetics.118.301824,2019,Kelly J.K.; Hughes K.A.,Kelly,Drosophila simulans; Evolve-and-resequence; Genomics,pervasive linked selection and intermediate-frequency alleles are implicated in an evolve-and-resequencing experiment of drosophila simulans,Time scale generation calculated from https://doi.org/10.1016/B978-012158861-8/50007-7,invertebrate,Drosophila simulans,experimental,poolseq,experimental,NA,15,experimental
51,10.1073_pnas.2201521119.pdf,10.1073/pnas.2201521119,2022,Brennan R.S.; deMayo J.A.; Dam H.G.; Finiguerra M.; Baumann H.; Buffalo V.; Pespeni M.H.,Brennan,evolve and resequence; global change adaptation; zooplankton evolution,experimental evolution reveals the synergistic genomic mechanisms of adaptation to ocean warming and acidification in a marine copepod,,microbes,Acartia tonsa (temperature and acidification),experimental,reduced representation,experimental,1,25,experimental
104,10.1098_rspb.2022.1857.pdf,10.1098/rspb.2022.1857,2022,Burny C.; Nolte V.; Dolezal M.; Schl√∂tterer C.,Burny,Drosophila melanogaster; experimental evolution; local adaptation; parallel evolution; temperature adaptation,genome-wide selection signatures reveal widespread synergistic effects of two different stressors in drosophila melanogaster,,invertebrate,Drosophila melanogaster,experimental,reduced representation,experimental,NA,20,experimental
119,10.1111_jeb.14152.pdf,10.1111/jeb.14152,2023,Johnson S.E.; Tittes S.; Franks S.J.,Johnson,Brassica rapa; drought adaptation; experimental evolution; parallel evolution; rapid evolution; resurrection approach,rapid; nonparallel genomic evolution of brassica rapa (field mustard) under experimental drought,,plant,Brassica rapa,experimental,reduced representation,experimental,NA,6,experimental
26,10.1016_j.watres.2022.118556.pdf,10.1016/j.watres.2022.118556,2022,Qi P.; Sun D.; Zhang G.; Li D.; Wu T.; Li Y.,Qi,,Bio-augmentation with dissimilatory nitrate reduction to ammonium (DNRA) driven sulfide-oxidizing bacteria enhances the durability of nitrate-mediated souring control,,bacteria,bacterial community,experimental,metagenomics,experimental,0.03561644 or 0.057534247,#N/A,experimental
57,10.1093_gbe_evaa178.pdf,10.1093/gbe/evaa178,2020,Maddamsetti; Rohan; Grant; Nkrumah A.,Maddamsetti,,Divergent Evolution of Mutation Rates and Biases in the Long-Term Evolution Experiment with <i>Escherichia coli</i>,,bacteria,E coli,experimental,metagenomics,experimental,#N/A,60000,experimental
91,10.1093_molbev_msu320.pdf,10.1093/molbev/msu320,2015,Franssen S.U.; Nolte V.; Tobler R.; Schlotterer C.,Franssen,,Patterns of linkage disequilibrium and long range hitchhiking in evolving experimental drosophila melanogaster populations,,invertebrate,Drosophila melanogaster,experimental,poolseq,experimental,#N/A,67,experimental
107,10.1099_MGEN.0.000553.pdf,10.1099/MGEN.0.000553,2021,Leyn S.A.; Zlamal J.E.; Kurnasov O.V.; Li X.; Elane M.; Myjak L.; Godzik M.; de Crecy A.; Garcia-Alcalde F.; Ebeling M.; Osterman A.L.,Leyn,,Experimental evolution in morbidostat reveals converging genomic trajectories on the path to triclosan resistance,,bacteria,E coli,experimental,WGS,experimental,0.02191781,288,experimental
123,10.1111_mec.15579.pdf,10.1111/mec.15579,2020,Langm√ºller A.M.; Schl√∂tterer C.,Langm√ºller,,Low concordance of short-term and long-term selection responses in experimental Drosophila populations,,invertebrate,Drosophila simulans,experimental,poolseq,experimental,#N/A,60,experimental
152,10.1186_s13059-018-1503-4.pdf,10.1186/s13059-018-1503-4,2018,Mallard; Francois; Nolte; Viola; Tobler; Ray; Kapun; Martin; Schloetterer; Christian,Mallard,,A simple genetic basis of adaptation to a novel thermal environment results in complex metabolic rewiring in <i>Drosophila</i>,,invertebrate,Drosophila simulans,experimental,poolseq,experimental,#N/A,64,experimental
153,10.1186_s13059-021-02425-9.pdf,10.1186/s13059-021-02425-9,2021,Otte K.A.; Nolte V.; Mallard F.; Schl√∂tterer C.,Otte,,The genetic architecture of temperature adaptation is shaped by population ancestry and not by selection regime,,invertebrate,Drosophila simulans,experimental,poolseq,experimental,4,50,experimental
157,10.1371_journal.pgen.1009722.pdf,10.1371/journal.pgen.1009722,2021,,,,Forecasting of phenotypic and genetic outcomes of experimental evolution in Pseudomonas protegens,,bacteria,Pseudomonas protegens,experimental,reduced representation,experimental,0.008,7200,experimental
60,10.1093_gbe_evab154.pdf,10.1093/gbe/evab154,2021,Langm√ºller A.M.; Dolezal M.; Schl√∂tterer C.,Langm√ºller,Drosophila; experimental design; experimental evolution; fine mapping; secondary evolve and resequence,fine mapping without phenotyping: identification of selection targets in secondary evolve and resequence experiments,,invertebrate,Drosophila simulans,experimental,simulation,experimental,NA,60,experimental
88,10.1093_molbev_msu048.pdf,10.1093/molbev/msu048,2014,Baldwin-Brown J.G.; Long A.D.; Thornton K.R.,Baldwin-Brown,Adaptive evolution; Evolve and resequence; Experimental evolution; Genomics; QTL detection; Simulation,the power to detect quantitative trait loci using resequenced; experimentally evolved populations of diploid; sexual organisms,,invertebrate,Drosophila melanogaster,experimental,simulation,experimental,NA,"1,000",experimental
7,10.1007_s11262-016-1332-z.pdf,10.1007/s11262-016-1332-z,2016,Wilson; WC; Ruder; MG; Jasperson; D; Smith; TPL; Naraghi-Arani; P; Lenhoff; R; Stallknecht; DE; Valdivia-Granda; WA; Sheoran; D,Wilson,Epizootic hemorrhagic disease; Molecular evolution; Motif fingerprint,molecular evolution of epizootic hemorrhagic disease viruses in north america based on historical isolates using motif fingerprints,,virus,epizootic hemorrhagic disease virus,experimental,WGS,experimental,41,NA,experimental
19,10.1016_j.meegid.2013.03.035.pdf,10.1016/j.meegid.2013.03.035,2013,Borges V.; Ferreira R.; Nunes A.; Sousa-Uva M.; Abreu M.; Borrego M.J.; Gomes J.P.,Borges,Adaptation; Chlamydia trachomatis; Evolution; In vitro propagation; Mutation; Selective advantage,effect of long-term laboratory propagation on chlamydia trachomatis genome dynamics,,microbes,chlamydia trachomatis,experimental,WGS,experimental,1,3500,experimental
24,10.1016_j.meegid.2024.105623.pdf,10.1016/j.meegid.2024.105623,2024,Castiglioni V.G.; Olmo-Uceda M.J.; Mart√≠n S.; F√©lix M.-A.; Gonz√°lez R.; Elena S.F.,Castiglioni,Evolution of virulence; Experimental evolution; Orsay virus; Virus evolution,experimental evolution of an rna virus in caenorhabditis elegans,,virus,Orsay virus,experimental,WGS,experimental,0.16,NA,experimental
28,10.1021_acs.est.2c00793.pdf,10.1021/acs.est.2c00793,2022,Wang H.; Feng Y.; Lu H.,Wang,,Low-Level Cefepime Exposure Induces High-Level Resistance in Environmental Bacteria: Molecular Mechanism and Evolutionary Dynamics,,bacteria,Comamonas testosteroni,experimental,WGS,experimental,0.02739726 or 0.109589041,66.4 or 300,experimental
32,10.1038_s41467-021-21281-6.pdf,10.1038/s41467-021-21281-6,2021,Iranmehr A.; Stobdan T.; Zhou D.; Zhao H.; Kryazhimskiy S.; Bafna V.; Haddad G.G.,Iranmehr,,Multiple mechanisms drive genomic adaptation to extreme O2 levels in Drosophila melanogaster,,invertebrate,Drosophila melanogaster,experimental,WGS,experimental,18,290,experimental
38,10.1038_s41559-020-1271-x.pdf,10.1038/s41559-020-1271-x,2020,Sandberg T.E.; Szubin R.; Phaneuf P.V.; Palsson B.O.,Sandberg,,Synthetic cross-phyla gene replacement and evolutionary assimilation of major enzymes,,bacteria,E coli,experimental,WGS,experimental,#N/A,<1200 or 50000,experimental
69,10.1093_genetics_iyab142.pdf,10.1093/genetics/iyab142,2022,Michelotti L.A.; Sun S.; Heitman J.; James T.Y.,Michelotti,evolve and resequence; experimental evolution; Galleria mellonella; polyploid hybrid; trisomic,clonal evolution in serially passaged cryptococcus neoformans 3 deneoformans hybrids reveals a heterogenous landscape of genomic change,,microbes,Cryptococcus neoformans × deneoformans hybrids (serotype AD hybrids),experimental,WGS,experimental,0.27,,experimental
77,10.1093_molbev_msac182.pdf,10.1093/molbev/msac182,2022,Debray R.; De Luna N.; Koskella B.,Debray,bacteriophages; epistasis; experimental evolution; historical contingency; microbial evolution; parallel evolution,historical contingency drives compensatory evolution and rare reversal of phage resistance,,microbes,Pseudomonas syringae,experimental,WGS,experimental,0.0986,345.6,experimental
80,10.1093_molbev_msac242.pdf,10.1093/molbev/msac242,2022,Ament-Vel√°squez S.L.; Gilchrist C.; R√™go A.; Bendixsen D.P.; Brice C.; Grosse-Sommer J.M.; Rafati N.; Stelkens R.,Ament-Vel√°squez,,The Dynamics of Adaptation to Stress from Standing Genetic Variation and de novo Mutations,,yeast,,experimental,WGS,experimental,0.82,1000,experimental
82,10.1093_molbev_msad108.pdf,10.1093/molbev/msad108,2023,Batarseh; TN; Batarseh; SN; Rodr√≠guez-Verdugo; A; Gaut; BS,Batarseh,epistasis; experimental evolution; historical contingency; diminishing returns,phenotypic and genotypic adaptation of escherichia coli to thermal stress is contingent on genetic background,"e coli ""time in years"" was calculated from given generation # and generation time from https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6015860/",microbes,escherichia coli,experimental,WGS,experimental,0.113,3000,experimental
90,10.1093_molbev_msu256.pdf,10.1093/molbev/msu256,2014,Burke M.K.; Liti G.; Long A.D.,Burke,experimental evolution; population genomics; quantitative trait loci,standing genetic variation drives repeatable experimental evolution in outcrossing populations of saccharomyces cerevisiae,,microbes,Saccharomyces cerevisiae,experimental,WGS,experimental,NA,540,experimental
92,10.1093_molbev_msv033.pdf,10.1093/molbev/msv033,2015,Bailey; SF; Rodrigue; N; Kassen; R,Bailey,parallel evolution; experimental evolution; Pseudomonas fluorescens; selection environment; environmental heterogeneity,the effect of selection environment on the probability of parallel evolution,,microbes,pseudomonas fluorescens,experimental,WGS,experimental,NA,1000,experimental
95,10.1093_molbev_msx247.pdf,10.1093/molbev/msx247,2018,Seabra; Sofia G.; Fragata; Ines; Antunes; Marta A.; Faria; Goncalo S.; Santos; Marta A.; Sousa; Vitor C.; Simoes; Pedro; Matos; Margarida,Seabra,,Different Genomic Changes Underlie Adaptive Evolution in Populations of Contrasting History,,invertebrate,,experimental,WGS,experimental,#N/A,50,experimental
100,10.1093_ve_vex035.pdf,10.1093/ve/vex035,2017,Carratal√†; A; Shim; H; Zhong; QX; Bachmann; V; Jensen; JD; Kohn; T,Carratal√†,virus; experimental evolution; ultraviolet radiation; disinfection; ribavirin; resistance,experimental adaptation of human echovirus 11 to ultraviolet radiation leads to resistance to disinfection and ribavirin,,virus,human echovirus 11,experimental,WGS,experimental,0.164,200,experimental
