doi,include,first_author,measure_in_time_series_data,level_of_analysis,hypothesized_driver_of_change,increase_or_decrease,method_of_estimating,raw_stats,help_needed,,
10.1371_journal.pntd.0011527.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1371_journal.pone.0147549.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1371_journal.pone.0201838.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1371_journal.ppat.1008298.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1371_journal.ppat.1009744.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1371_journal.ppat.1010993.pdf,Yes,carrasquilla,NA,NA,NA,NA,NA,NA,NA,inbreeding discussed but not quatified,
10.1371_journal.ppat.1012090.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.15252_msb.20188462.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1534_g3.115.023200.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1534_g3.117.043349.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1534_genetics.112.143396.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1534_genetics.118.301824.pdf,Yes,kelly,NA,NA,NA,NA,NA,NA,NA,discussed not quant,
10.3201_eid1909.130377.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.3201_eid2701.191541.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.3390_genes11040400.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.3390_pathogens12081065.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.3390_v11080720.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.3390_vaccines11101537.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.7554_eLife.03568.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.7554_eLife.64971.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
