,File.Name,first_author_ep,measured_in_time_series_data_ep,hypothesized_driver_of_change_ep,level_of_analysis_ep,increase_decrease_ep,method.of.estimating_ep,raw.stats_ep,author_nd,measured_in_time_series_data_nd,level_of_analysis_nd,hypothesized_driver_of_change_nd,method_of_estimating_nd,increase_decrease_nd,raw_stats_nd,notes_nd,first_author_ib,measured_in_time_series_data_ib,level_of_analysis_ib,hypothesized_driver_of_change_ib,increase_decrease_ib,method_of_estimating_ib,raw_stats_ib,help_needed_ib,first_author_ps,population.structure._ps,genetic.structure._ps,spatial.structure._ps,genomic.structure._ps,measured_in_time_series_data_ps,hypothesized_driver_of_change_ps,increase_decrease_ps,method_of_estimating_ps,raw_stats_ps,measured_in_time_series_data_gf,level_of_analysis_gf,hypothesized_driver_of_change_gf,increase_decrease_gf,method_of_estimating_gf,raw_stats_gf,author_selection,measured_in_time_series_data_selection,central_question_regarding_selection_selection,outcome_of_central_question_selection,selection_level_of_analysis_selection,selection_hypothesized_driver_of_change_selection.x,selection_method_of_estimating_selection,selection_candidate_gene_list_selection,selection_coefficent_overall_selection,selection_coefficent_meanofoutliers_selection,first_author_last_name_drift,measured_in_time_series_data_drift,level_of_analysis_drift,hypothesized_driver_of_change_drift,method_of_estimating_drift,did_drift_have_effect_drift,raw_stats_drift,help_needed_drift,notes_drift,Author_fst,measured_in_time_series_data_fst,level_of_analysis_fst,hypothesized_diver_of_change_fst,spacetime_or_time_fst,sliding_window_vs_entire_genome_fst,candidate_gene_list_fst,raw_stats_fst,first_auhtor_tajima,measured_in_time_series_data_tajima,level_of_analysis_tajima,hypothesized_driver_of_change_tajima,sliding_window_vs_entire_genome_tajima,raw_stats_tajima,canidate_gene_tajima,help_needed_tajima,first_author_mc,measured_in_time_series_data_mc,level_of_anaylsis_mc,hypothesized_driver_of_change_mc,increase_decrease_mc,method_of_estimating_mc,raw_stats_mc,help_needed_mc,order_parallel,parallel._parallel,author_parallel,measured_in_time_series_data_parallel,evidence_of_parallel_evolution_parallel,snp_evidence_parallel,gene_protein_evidence_parallel,parallel_diversity.change_parallel,notes_parallel,collectedmonth_paperinfo,doi_paperinfo,year_paperinfo,journal_paperinfo,volume_paperinfo,issue_paperinfo,dbs_paperinfo,authors_paperinfo,first_author_paperinfo,keywords_paperinfo,Title_paperinfo,Notes_paperinfo,Type_paperinfo,Study.system_paperinfo,Taxon_paperinfo,Driver.of.change_paperinfo,Data.type_paperinfo,Experimental.design_paperinfo,Time.scale.years_paperinfo,Time.scale.generations_paperinfo,File.Name.1_paperinfo,revised,Driver.of.change.std_paperinfo
42,10.1038_s41559-023-02185-8.pdf,sun,yes,natural,multiple_temporal,none,G-PhoCS,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sun,Yes,Yes,No,Yes,no,NA,NA,NA,NA,yes,multiple_spatial; multiple_temporal,natural,increase,D statistics,"(Table in doc) D-statistics further suggested that the extent of gene flow between a modern subspecies and RUSA21 was minor in comparison with that between two modern subspecies. Following a nuclear phylogeny framework with ancient (RUSA) and modern Amur tigers (ALT) clustered into an ingroup to all other mainland tigers (PopX), the D-statistics inferred an excessive level of allele sharing between Amur tigers and other mainland subspecies relative to that between modern and ancient populations",sun,no,NA,NA,NA,NA,NA,NA,NA,NA,sun,yes,multiple_temporal,natural evolution,admixture modeling with qpGraph,yes,see admixture graph,NA,"""units of genetic drift"" ",Sun,yes,multiple spatial,habitat loss; hunting; anthropogenic factors,spacetime,genomewide,no,see doc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,Yes,sun,no,NA,NA,NA,NA,NA,may,10.1038/s41559-023-02185-8,2023,NAT ECOL EVOL,7,11,NA scopus wos,Sun X.; Liu Y.-C.; Tiunov M.P.; Gimranov D.O.; Zhuang Y.; Han Y.; Driscoll C.A.; Pang Y.; Li C.; Pan Y.; Velasco M.S.; Gopalakrishnan S.; Yang R.-Z.; Li B.-G.; Jin K.; Xu X.; Uphyrkina O.; Huang Y.; Wu X.-H.; Gilbert M.T.P.; O‚ÄôBrien S.J.; Yamaguchi N.; Luo S.-J.,Sun,,ancient dna reveals genetic admixture in china during tiger evolution,Mostly phylogenetic; maybe some small nuggets of demography?; article says 5 year gen time,article,vertebrate,Panthera tigris,natural evolution,WGS,historical,10500,2100,10.1038_s41559-023-02185-8.pdf,natural evolution,natural evolution
43,10.1038_s41564-022-01157-1.pdf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,piel,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,No,NA,NA,NA,NA,NA,NA,NA,august,10.1038/s41564-022-01157-1,2022,,NA,,,Piel; Damien; Bruto; Maxime; Labreuche; Yannick; Blanquart; Francois; Goudenege; David; Barcia-Cruz; Ruben; Chenivesse; Sabine; Le Panse; Sophie; James; Adele; Dubert; Javier; Petton; Bruno; Lieberman; Erica; Wegner; K. Mathias; Hussain; Fatima A.; Kauffman; Kathryn M.; Polz; Martin F.; Bikard; David; Gandon; Sylvain; Rocha; Eduardo P. C.; Le Roux; Frederique,Piel,,Phage-host coevolution in natural populations,,article,bacteria,Vibrio crassostreae ,host-pathogen,WGS,repeated,0.416666667,#N/A,10.1038_s41564-022-01157-1.pdf,host-pathogen,host-pathogen
44,10.1038_s41586-021-03224-9.pdf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,van der Valk,Yes,Yes,No,No,no,NA,NA,NA,NA,yes,multiple_temporal,natural,increase,D statistics,"(Table in doc) On the basis of f4 ratios, we estimate 10.7–12.7% excess shared ancestry between these genomes (Supplementary Section 9), consistent with a previous study15. Because the Columbian mammoth carries a large proportion of Krestovka ancestry, gene flow from the Columbian mammoth into North American woolly mammoths would have resulted in a larger proportion of allele-sharing between Krestovka and the Wyoming woolly mammoth.",van der Valk,no,NA,NA,NA,NA,NA,NA,NA,NA,van der valk,yes,multiple_temporal,natural evolution,f(A|B) statistics; admixture modeling; f2 and f3 stats,yes,see word document,NA,shared genetic drift varies among populations,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,van der valk,yes,single,natural_evolution,NA,finate radiocarbon dates,NA,NA,46,Yes,van der valk ,no,NA,NA,NA,NA,NA,august,10.1038/s41586-021-03224-9,2021,,NA,,,van der Valk T.; Peƒçnerov√° P.; D√≠ez-del-Molino D.; Bergstr√∂m A.; Oppenheimer J.; Hartmann S.; Xenikoudakis G.; Thomas J.A.; Dehasque M.; Saƒülƒ±can E.; Fidan F.R.; Barnes I.; Liu S.; Somel M.; Heintzman P.D.; Nikolskiy P.; Shapiro B.; Skoglund P.; Hofreiter M.; Lister A.M.; G√∂therstr√∂m A.; Dal√©n L.,van,,Million-year-old DNA sheds light on the genomic history of mammoths,,article,vertebrate,Mammuthus spp.,natural evolution,WGS,historical,780000,25161.29032,10.1038_s41586-021-03224-9.pdf,natural evolution,natural evolution
45,10.1038_s41586-022-04824-9.pdf,bergstrom,yes,speciation,multiple_inferred,NA,MSMC2,NA,NA,NA,NA,NA,NA,NA,NA,NA,bergstrom,NA,NA,NA,NA,NA,NA,NA,Bergstrom,Yes,Yes,No,No,yes,glaciation,no change,PCA,"see doc. This paper barely touches this topic, its just this one graph. Maybe double check to see if worth including in this section. ",yes,multiple_spatial; multiple_temporal,captivity; domestication; anthropogenic,decrease,D statistics and admixture graph model,"(In doc) f4-statistics showed that all wolves postdating 23 ka are more similar to Siberian wolves than to European or Central Asian wolves from ~30 ka. an admixture graph model with recurrent, unidirectional gene flow from Siberia into Europe could explain these relationships",bergstr�m,yes,What role has selection played in recent wolf evolution?,candidate gene list,linear regression on allele frequency ~ sample age; TMRCA sliding window,,,only GO categories,NA,NA,bergstrom ,yes,multiple_temporal,natural evolution,f3 statistics,yes,see word document,NA,shared genetic drift varies among populations,Bergstrom,yes,multiple spatial,glaciation,spacetime,genomewide,no,see doc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,Yes,bergstrom,no,NA,NA,NA,NA,NA,august,10.1038/s41586-022-04824-9,2022,,NA,,,Bergstrom; Anders; Stanton; David W. G.; Taron; Ulrike H.; Frantz; Laurent; Sinding; Mikkel-Holger S.; Ersmark; Erik; Pfrengle; Saskia; Cassatt-Johnstone; Molly; Lebrasseur; Ophelie; Girdland-Flink; Linus; Fernandes; Daniel M.; Ollivier; Morgane; Speidel; Leo; Gopalakrishnan; Shyam; Westbury; Michael V.; Ramos-Madrigal; Jazmin; Feuerborn; Tatiana R.; Reiter; Ella; Gretzinger; Joscha; Muenzel; Susanne C.; Swali; Pooja; Conard; Nicholas J.; Caroe; Christian; Haile; James; Linderholm; Anna; Androsov; Semyon; Barnes; Ian; Baumann; Chris; Benecke; Norbert; Bocherens; Herve; Brace; Selina; Carden; Ruth F.; Drucker; Dorothee G.; Fedorov; Sergey; Gasparik; Mihaly; Germonpre; Mietje; Grigoriev; Semyon; Groves; Pam; Hertwig; Stefan T.; Ivanova; Varvara V.; Janssens; Luc; Jennings; Richard P.; Kasparov; Aleksei K.; Kirillova; Irina V.; Kurmaniyazov; Islam; Kuzmin; Yaroslav V.; Kosintsev; Pavel A.; Laznickova-Galetova; Martina; Leduc; Charlotte; Nikolskiy; Pavel; Nussbaumer; Marc; O'Drisceoil; Coilin; Orlando; Ludovic; Outram; Alan; Pavlova; Elena Y.; Perri; Angela R.; Pilot; Malgorzata; Pitulko; Vladimir V.; Plotnikov; Valerii V.; Protopopov; Albert V.; Rehazek; Andre; Sablin; Mikhail; Seguin-Orlando; Andaine; Stora; Jan; Verjux; Christian; Zaibert; Victor F.; Zazula; Grant; Crombe; Philippe; Hansen; Anders J.; Willerslev; Eske; Leonard; Jennifer A.; Gotherstrom; Anders; Pinhasi; Ron; Schuenemann; Verena J.; Hofreiter; Michael; Gilbert; M. Thomas P.; Shapiro; Beth; Larson; Greger; Krause; Johannes; Dalen; Love; Skoglund; Pontus,Bergstrom,,Grey wolf genomic history reveals a dual ancestry of dogs,,article,vertebrate,Canus lupus,natural evolution,WGS,historical,100000 or 300000,30000 or 100000,10.1038_s41586-022-04824-9.pdf,anthropogenic,anthropogenic
46,10.1038_s41591-019-0559-3.pdf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poyet,Yes,No,No,No,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,poyet,no,NA,NA,NA,NA,NA,NA,NA,NA,poyet,no,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,No,NA,NA,NA,NA,NA,NA,NA,august,10.1038/s41591-019-0559-3,2019,,NA,,,Poyet M.; Groussin M.; Gibbons S.M.; Avila-Pacheco J.; Jiang X.; Kearney S.M.; Perrotta A.R.; Berdy B.; Zhao S.; Lieberman T.D.; Swanson P.K.; Smith M.; Roesemann S.; Alexander J.E.; Rich S.A.; Livny J.; Vlamakis H.; Clish C.; Bullock K.; Deik A.; Scott J.; Pierce K.A.; Xavier R.J.; Alm E.J.,Poyet,,A library of human gut bacterial isolates paired with longitudinal multiomics data enables mechanistic microbiome research,,article,bacteria,Microbe spp.,natural evolution,metagenomics,repeated,1.5,#N/A,10.1038_s41591-019-0559-3.pdf,host-pathogen,host-pathogen
47,10.1038_srep38915.pdf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,antunes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,No,NA,NA,NA,NA,NA,NA,NA,august,10.1038/srep38915,2016,,NA,,,Antunes; Luciana Principal; Martins; Layla Farage; Pereira; Roberta Verciano; Thomas; Andrew Maltez; Barbosa; Deibs; Lemos; Leandro Nascimento; Machado Silva; Gianluca Major; Silva Moura; Livia Maria; Condomitti Epamino; George Willian; Digiampietri; Luciano Antonio; Lombardi; Karen Cristina; Ramos; Patricia Locosque; Quaggio; Ronaldo Bento; Franco de Oliveira; Julio Cezar; Pascon; Renata Castiglioni; da Cruz; Joao Batista; da Silva; Aline Maria; Setubal; Joao Carlos,Antunes,,Microbial community structure and dynamics in thermophilic composting viewed through metagenomics and metatranscriptomics,,article,bacteria,Microbe spp.,experimental,metagenomics,repeated,0.373584906,#N/A,10.1038_srep38915.pdf,anthropogenic,anthropogenic
48,10.1073_pnas.1400378111.pdf,martins,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,martins,yes,How do drosophila evolve in response to viruses?,candidate gene list,multiple_temporal,disease; three viruses,CMH,yes,NA,0.24 and 0.14,martins,no,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,Yes,martins,yes,yes,yes,yes,NA,resistance to parasite in four replicate populations associated with changes in pst; potential role for epistasis,may,10.1073/pnas.1400378111,2014,Proceedings of the National Academy of Sciences of the United States of America,111,16,er,Martins N.E.; Faria V.G.; Nolte V.; Schl√∂tterer C.; Teixeira L.; Sucena √â.; Magalh√£es S.,Martins,Drosophila immunity; Evolve and resequence; Experimental evolution; Host-parasite interactions,host adaptation to viruses relies on few genes with different cross-resistance properties,,article,invertebrate,Drosophila melanogaster,host-pathogen,poolseq,repeated,NA,35,10.1073_pnas.1400378111.pdf,host-pathogen,host-pathogen
49,10.1073_pnas.1620410114.pdf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lindo,Yes,No,No,No,no,NA,NA,NA,NA,yes,multiple_spatial; multiple_temporal,migration; natural,decrease,D statistics,"(In doc) D statistic did not reveal a signal of gene flow between Arctic populations (Inuit and Yup’ik) and either the modern or ancient Northwest Coast populations compared with Shuká Káa. the Northwest Coast exhibits an ancestral lineage that stems from the initial peopling of the region. The observed temporal change of mtDNA haplogroups in the area was probably caused by sampling, and no clear signs of gene flow into the area after the first settlement have been identified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lindo,yes,multiple_temporal,natural evolution,f3 statistics,yes,depends on population; see word document,NA,shared genetic drift varies among populations,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,No,NA,NA,NA,NA,NA,NA,NA,august,10.1073/pnas.1620410114,2017,,NA,,,Lindo J.; Achilli A.; Perego U.A.; Archer D.; Valdiosera C.; Petzelt B.; Mitchell J.; Worl R.; Dixon E.J.; Fifield T.E.; Rasmussen M.; Willerslev E.; Cybulski J.S.; Kemp B.M.; DeGiorgio M.; Malhi R.S.,Lindo,,Ancient individuals from the North American Northwest Coast reveal 10;000 years of regional genetic continuity,,article,vertebrate,Homo sapiens,natural evolution,WGS,historical,12300 or 10300,412,10.1073_pnas.1620410114.pdf,anthropogenic,anthropogenic
50,10.1073_pnas.1714246115.pdf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Burghardt,Yes,No,No,No,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burghardt,yes,How does selection differ between free living  and legume-symbiotic rhizobial communities?,various findings,multiple_temporal,symbioses,strain frequency over time; mean relative fitness,no; but GO terms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,No,NA,NA,NA,NA,NA,NA,NA,may,10.1073/pnas.1714246115,2018,Proceedings of the National Academy of Sciences of the United States of America,115,10,er,Burghardt L.T.; Epstein B.; Guhlin J.; Nelson M.S.; Taylor M.R.; Young N.D.; Sadowsky M.J.; Tiffin P.,Burghardt,Ensifer meliloti; Evolve and resequence; Facultative mutualism; Medicago; Synthetic community,select and resequence reveals relative fitness of bacteria in symbiotic and free-living environments,,article,bacteria,Ensifer meliloti ,experimental,poolseq,experimental,0.15,,10.1073_pnas.1714246115.pdf,experimental,experimental
51,10.1073_pnas.2201521119.pdf,brennan,yes,ocean acidification; ocean warming; climate change; anthropogenic,single,NA,poolseq R package,414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brennan,yes,How has the copepod Acartia tonsa evolved in response to ocean warming and acidification?,candidate gene list,multiple_temporal,climate change; anthropogenic,temporal covariance-based method (cvtk),yes,,,brennan,yes,multiple_temporal,warming and acidification; climate change,pairwise covariance in allele frequency change,yes,33-68% of shifts in allele frequencies due to drift; fig 3c and webplotdigitizer,NA,good example for drift section,,,,,,,,,brennan,yes,single,ocean warming; acidification; anthropgenic,sliding window,(Tajima�s ?: 0.0148 � 0.0004,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,Yes,brennan,yes,partial,yes,NA,NA,treatment replicates had high convergent correlations; also find some changes that could be drift,may,10.1073/pnas.2201521119,2022,Proceedings of the National Academy of Sciences of the United States of America,119,38,er,Brennan R.S.; deMayo J.A.; Dam H.G.; Finiguerra M.; Baumann H.; Buffalo V.; Pespeni M.H.,Brennan,evolve and resequence; global change adaptation; zooplankton evolution,experimental evolution reveals the synergistic genomic mechanisms of adaptation to ocean warming and acidification in a marine copepod,,article ,invertebrate,Acartia tonsa,experimental,reduced representation,experimental,1,25,10.1073_pnas.2201521119.pdf,anthropogenic,anthropogenic
52,10.1073_pnas.242608099.pdf,tanaka,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,tanaka,yes,single,natural_evolution,NA,regression of pamilo-bianchi-li model ,see notes doc,NA,55,No,NA,NA,NA,NA,NA,NA,NA,august,10.1073/pnas.242608099,2002,,NA,,,Tanaka Y.; Hanada K.; Mizokami M.; Yeo A.E.T.; Shih J.W.-K.; Gojobori T.; Alter H.J.,Tanaka,,A comparison of the molecular clock of hepatitis C virus in the United States and Japan predicts that hepatocellular carcinoma incidence in the United States will increase over the next two decades,,article,virus,Hepatitis C virus,host-pathogen,WGS,repeated,7-21.6 or 15.1,#N/A,10.1073_pnas.242608099.pdf,host-pathogen,host-pathogen
53,10.1080_22221751.2022.2040921.pdf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wu,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,No,NA,NA,NA,NA,NA,NA,NA,august,10.1080/22221751.2022.2040921,2022,,NA,,,Wu X.; Zhao S.; Jiang Y.; Xiang X.; Ge L.; Chen Q.; Wang Y.; Vidal J.E.; Yu Y.,Wu,,Effect of pneumococcal conjugate vaccine availability on Streptococcus pneumoniae infections and genetic recombination in Zhejiang; China from 2009 to 2019,,article,bacteria,Pneumoccocal pneumonia,host-pathogen,WGS,repeated,10,104.2857143,10.1080_22221751.2022.2040921.pdf,host-pathogen,host-pathogen
54,10.1093_evolut_qpad054.pdf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sinitambirivoutin,simuation,NA,NA,NA,NA,NA,NA,NA,NA,sinitambirivoutin ,no,NA,NA,NA,NA,NA,NA,NA,Sinitambirivoutin ,yes,simulation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,No,NA,NA,NA,NA,NA,NA,NA,august,10.1093/evolut/qpad054,2023,,NA,,,Sinitambirivoutin; Maidie; Nosil; Patrik; Flaxman; Samuel; Feder; Jeffrey; Gompert; Zachariah; Dakos; Vasilis,Sinitambirivoutin,,Early-warning signals of impending speciation,,article,simulation,simulation,simulation,simulation,simulation,#N/A,#N/A,10.1093_evolut_qpad054.pdf,simulation,simulation
55,10.1093_gbe_evaa036.pdf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burny,yes,Can their new experimental method better identify candidate genes?,yes,multiple_temporal,temperature; experimental,"fishers exact test, CMH, forward simulations",no,0,"0.26, 0.27; 0.08, 0.09, 0.12",burny,no,NA,NA,NA,NA,NA,NA,controlled for drift but not really a focal result,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,Yes,burny,yes,no,no,NA,NA,two distinct haplotypes emerged in response to selection in different replicates,may,10.1093/gbe/evaa036,2020,Genome Biology and Evolution,12,3,er,Burny C.; Nolte V.; Nouhaud P.; Dolezal M.; Schl√∂tterer C.; Baer C.,Burny,Drosophila simulans; evolve and resequence; experimental evolution; repeatability of evolution,secondary evolve and resequencing: an experimental confirmation of putative selection targets without phenotyping,Time scale years calculated from https://doi.org/10.1016/B978-012158861-8/50007-7,article,invertebrate,Drosophila simulans,experimental,poolseq,experimental,2.5,70,10.1093_gbe_evaa036.pdf,experimental,experimental
56,10.1093_gbe_evaa073.pdf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barghi,simuation,simuation,simuation,simuation,simuation,simuation,simuation,simuation,simuation,barghi,no,NA,NA,NA,NA,NA,NA,controlled for drift but not really a focal result; did some simulations of drift might be worth thinking about? ,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,Yes,barghi,yes,NA,NA,NA,NA,simulations suggest paralellism lower in small popualtions due to drift; parallism also lower under model that assumes epistasis (interactions among genes),august,10.1093/gbe/evaa073,2020,,NA,,,Barghi; Neda; Schloetterer; Christian,Barghi,,Distinct Patterns of Selective Sweep and Polygenic Adaptation in Evolve and Resequence Studies,,article,simulation,simulation,simulation,simulation,simulation,#N/A,#N/A,10.1093_gbe_evaa073.pdf,simulation,simulation
57,10.1093_gbe_evaa178.pdf,NA,NA,NA,NA,NA,NA,NA,maddamsetti,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,maddamsetti,yes,Does selection act on mutation rate in E Coli?,yes,multiple_temporal,mutation rate,novel mutations over time,yes,NA,NA,maddamsetti ,no,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,Yes,maddamsetti,no,NA,NA,NA,NA,"about LTEE, not specific selective pressure",august,10.1093/gbe/evaa178,2020,,NA,,,Maddamsetti; Rohan; Grant; Nkrumah A.,Maddamsetti,,Divergent Evolution of Mutation Rates and Biases in the Long-Term Evolution Experiment with <i>Escherichia coli</i>,,article,bacteria,Escherichia coli,experimental,metagenomics,experimental,#N/A,60000,10.1093_gbe_evaa178.pdf,experimental,experimental
58,10.1093_gbe_evaa188.pdf,parejo,no,NA,NA,NA,NA,NA,parejo,yes,multiple_temporal,commercial breeding; emerging disease; anthropogenic change,pi over windows,increased,"modern pi: 0.00241, 95% CI 0.00240�0.00243 ; historic pi: 0.00227, 95% CI 0.00224�0.00230)",good example!,parejo,NA,NA,NA,NA,NA,NA,NA,Parejo,Yes,Yes,No,No,yes,"Apicultural practices; pesticide use, agricultural practices",no change,"PCA, Fst, and admixture","See doc for PCA and admixture. Fst between museum and modern samples was 0.007, 95% CI 0.004-0.009",NA,NA,NA,NA,NA,NA,Parejo,yes,What genes are experiencing selection in Swiss honey bee,Several genes are experiencig selection specifically related to xenobionics,multiple_temporal,pesticide; disease; change in agriculture; anthropogenic,XP-EHH & SNPeff,yes,NA,NA,parejo,no,NA,NA,NA,NA,NA,NA,NA,Parejo,yes,single,"Apicultural practices; pesticide use, agricultural practices",time,genomewide,no,"Fst between museum and modern samples was 0.007, 95% CI 0.004-0.009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,No,NA,NA,NA,NA,NA,NA,NA,may,10.1093/gbe/evaa188,2020,GENOME BIOL EVOL,12,12,NA NA wos,Parejo; M; Wragg; D; Henriques; D; Charri√®re; JD; Estonba; A,Parejo,Apis mellifera mellifera; museum genomics; genetic diversity; selection signatures; haplotype phasing; biodiversity,digging into the genomic past of swiss honey bees by whole-genome sequencing museum specimens,,article,invertebrate,Apis mellifera,natural evolution,WGS,historical,141,56,10.1093_gbe_evaa188.pdf,anthropogenic,anthropogenic
59,10.1093_gbe_evab070.pdf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maddamsetti,No,Yes,No,No,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maddamsetti,yes,Why do abundant proteins evolve slowly?,"Direct quation not really ansswered, but says result of paper help with designing an experiment that will be able to answer this question",multiple_spatial,DNA repair mutation; mutation; natural evolution,comparisons of density of observed mutation w/ spearman correlatio coefficients,no,NA,NA,maddamsetti,no,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,maddamsetti,NA,NA,NA,NA,NA,NA,NA,63,No,NA,NA,NA,NA,NA,NA,NA,may,10.1093/gbe/evab070,2021,GENOME BIOL EVOL,13,6,NA NA wos,Maddamsetti; R,Maddamsetti,purifying selection; experimental evolution; protein evolution,universal constraints on protein evolution in the long-term evolution experiment with escherichia coli,,article ,bacteria,Escherichia coli,experimental,metagenomics,experimental,30,60000,10.1093_gbe_evab070.pdf,experimental,experimental
